"","community","region","country","latitude","longitude","type","scenario","resolution","daterange","unit","month","Min","Mean","Max","Sd"
"43","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","July",10.6,13.9,17.4,1.3
"44","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","August",10.6,13.5,17.9,1.3
"45","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","September",8.4,10.6,12.9,1
"46","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","October",2.8,6.7,9.6,1.5
"47","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","November",-4.4,0.9,6,2.5
"48","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2030-2039","C","December",-7.2,-0.7,3.9,2.7
"49","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","January",-7.7,-1.1,4.2,2.6
"50","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","February",-6.7,1.1,5.6,3.2
"51","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","March",-3.6,2,6.2,1.9
"52","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","April",0.5,4.4,8.3,1.6
"53","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","May",5.6,8.2,10.9,1.3
"54","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","June",8.8,12.3,16.1,1.8
"55","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","July",11.7,14.4,17.5,1.4
"56","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","August",11.1,13.9,16.7,1.4
"57","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","September",8.6,11,13.2,1.1
"58","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","October",2.7,7.2,11.2,1.8
"59","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","November",-4.4,1.1,5.7,2.2
"60","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2040-2049","C","December",-7.8,-1.1,3.4,2.7
"61","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","January",-10.4,-1.6,4.7,3.3
"62","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","February",-6,0.7,7.2,3
"63","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","March",-3.3,1.8,6.6,2.4
"64","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","April",0.9,4.8,9.3,1.7
"65","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","May",5.5,8.5,12.8,1.5
"66","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","June",8.2,12.2,17.4,1.8
"67","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","July",12.1,14.5,18.3,1.5
"68","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","August",11.8,13.9,17.1,1.3
"69","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","September",8.1,11.1,14.1,1.4
"70","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","October",2.3,7.3,9.5,1.5
"71","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","November",-2,1.7,4.8,1.9
"72","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2050-2059","C","December",-5.5,0,4.6,2.5
"73","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","January",-11.3,-1.1,4.7,3.2
"74","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","February",-5.4,0.9,6.8,2.8
"75","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","March",-3.5,2.2,7.5,2.4
"76","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","April",1.9,5.1,9.2,1.6
"77","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","May",6.4,8.9,11.9,1.3
"78","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","June",8.7,12.6,16.9,1.6
"79","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","July",12.5,14.9,18.3,1.5
"80","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","August",11.9,14,16.7,1.3
"81","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","September",9,11.3,14.2,1.3
"82","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","October",3.8,7.3,9.6,1.3
"83","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","November",-3.8,2,5.7,2.1
"84","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2060-2069","C","December",-6,-0.3,4.6,2.5
"85","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","January",-7.3,-0.7,5,3
"86","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","February",-4.2,1.2,6.1,2.6
"87","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","March",-2.6,2.5,8.4,2.2
