,community,region,country,latitude,longitude,type,scenario,resolution,daterange,unit,month,Min,Mean,Max,Sd,cru32 2km historical mean,delta,maxdelta,mindelta
44,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,August,10.6,13.5,17.9,1.3,11.8,1.7,6.1,-1.2
45,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,September,8.4,10.6,12.9,1,8.9,1.7,4,-0.5
46,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,October,2.8,6.7,9.6,1.5,5,1.7,4.6,-2.2
47,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,November,-4.4,0.9,6,2.5,-0.3,1.2,6.3,-4.1
48,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,December,-7.2,-0.7,3.9,2.7,-2.6,1.9,6.5,-4.6
49,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,January,-7.7,-1.1,4.2,2.6,-3.9,2.8,8.1,-3.8
50,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,February,-6.7,1.1,5.6,3.2,-2,3.1,7.6,-4.7
51,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,March,-3.6,2,6.2,1.9,-0.7,2.7,6.9,-2.9
52,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,April,0.5,4.4,8.3,1.6,2.4,2,5.9,-1.9
53,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,May,5.6,8.2,10.9,1.3,6.3,1.9,4.6,-0.7
54,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,June,8.8,12.3,16.1,1.8,9.8,2.5,6.3,-1
55,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,July,11.7,14.4,17.5,1.4,12,2.4,5.5,-0.3
56,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,August,11.1,13.9,16.7,1.4,11.8,2.1,4.9,-0.7
57,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,September,8.6,11,13.2,1.1,8.9,2.1,4.3,-0.3
58,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,October,2.7,7.2,11.2,1.8,5,2.2,6.2,-2.3
59,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,November,-4.4,1.1,5.7,2.2,-0.3,1.4,6,-4.1
60,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2040-2049,C,December,-7.8,-1.1,3.4,2.7,-2.6,1.5,6,-5.2
61,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,January,-10.4,-1.6,4.7,3.3,-3.9,2.3,8.6,-6.5
62,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,February,-6,0.7,7.2,3,-2,2.7,9.2,-4
63,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,March,-3.3,1.8,6.6,2.4,-0.7,2.5,7.3,-2.6
64,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,April,0.9,4.8,9.3,1.7,2.4,2.4,6.9,-1.5
65,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,May,5.5,8.5,12.8,1.5,6.3,2.2,6.5,-0.8
66,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,June,8.2,12.2,17.4,1.8,9.8,2.4,7.6,-1.6
67,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,July,12.1,14.5,18.3,1.5,12,2.5,6.3,0.1
68,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,August,11.8,13.9,17.1,1.3,11.8,2.1,5.3,0
69,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,September,8.1,11.1,14.1,1.4,8.9,2.2,5.2,-0.8
70,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,October,2.3,7.3,9.5,1.5,5,2.3,4.5,-2.7
71,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,November,-2,1.7,4.8,1.9,-0.3,2,5.1,-1.7
72,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2050-2059,C,December,-5.5,0,4.6,2.5,-2.6,2.6,7.2,-2.9
73,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,January,-11.3,-1.1,4.7,3.2,-3.9,2.8,8.6,-7.4
74,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,February,-5.4,0.9,6.8,2.8,-2,2.9,8.8,-3.4
75,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,March,-3.5,2.2,7.5,2.4,-0.7,2.9,8.2,-2.8
76,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,April,1.9,5.1,9.2,1.6,2.4,2.7,6.8,-0.5
77,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,May,6.4,8.9,11.9,1.3,6.3,2.6,5.6,0.1
78,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,June,8.7,12.6,16.9,1.6,9.8,2.8,7.1,-1.1
79,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,July,12.5,14.9,18.3,1.5,12,2.9,6.3,0.5
80,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,August,11.9,14,16.7,1.3,11.8,2.2,4.9,0.1
81,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,September,9,11.3,14.2,1.3,8.9,2.4,5.3,0.1
82,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,October,3.8,7.3,9.6,1.3,5,2.3,4.6,-1.2
83,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,November,-3.8,2,5.7,2.1,-0.3,2.3,6,-3.5
84,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2060-2069,C,December,-6,-0.3,4.6,2.5,-2.6,2.3,7.2,-3.4
85,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,January,-7.3,-0.7,5,3,-3.9,3.2,8.9,-3.4
86,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,February,-4.2,1.2,6.1,2.6,-2,3.2,8.1,-2.2
87,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,March,-2.6,2.5,8.4,2.2,-0.7,3.2,9.1,-1.9
88,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,April,0.7,4.9,9.3,1.6,2.4,2.5,6.9,-1.7
89,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,May,5.3,8.5,11.8,1.5,6.3,2.2,5.5,-1
90,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,June,8.4,12.8,17.7,1.7,9.8,3,7.9,-1.4
91,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,July,12.3,14.8,18.5,1.5,12,2.8,6.5,0.3
92,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,August,12.2,14.5,17.4,1.4,11.8,2.7,5.6,0.4
93,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,September,9.3,11.7,14.8,1.3,8.9,2.8,5.9,0.4
94,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,October,5,7.9,12.4,1.6,5,2.9,7.4,0
95,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,November,-2.4,2.3,6.4,2.1,-0.3,2.6,6.7,-2.1
96,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2070-2079,C,December,-4.8,0.1,5.8,2.8,-2.6,2.7,8.4,-2.2
97,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,January,-8.1,-0.8,4.1,2.7,-3.9,3.1,8,-4.2
98,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,February,-4.3,1,5.8,2.5,-2,3,7.8,-2.3
99,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,March,-3.3,1.7,6.2,2.3,-0.7,2.4,6.9,-2.6
100,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,April,1.4,5.4,9,1.7,2.4,3,6.6,-1
101,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,May,5.7,8.6,11.1,1.2,6.3,2.3,4.8,-0.6
102,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,June,10,13,17.6,1.6,9.8,3.2,7.8,0.2
103,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,July,12.3,14.9,18.1,1.5,12,2.9,6.1,0.3
104,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,August,11.9,14.2,16.6,1.2,11.8,2.4,4.8,0.1
105,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,September,9.5,11.5,15.3,1.2,8.9,2.6,6.4,0.6
106,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,October,4.7,7.6,9.5,1.2,5,2.6,4.5,-0.3
107,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,November,-3.4,2.4,6,2.1,-0.3,2.7,6.3,-3.1
108,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2080-2089,C,December,-5.5,-0.5,4.8,2.6,-2.6,2.1,7.4,-2.9
109,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,January,-6,-0.9,4.5,2.5,-3.9,3,8.4,-2.1
110,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,February,-6.8,1.7,7.5,3.1,-2,3.7,9.5,-4.8
111,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,March,-1.5,2.8,7.7,2,-0.7,3.5,8.4,-0.8
112,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,April,2.7,5.4,8.7,1.7,2.4,3,6.3,0.3
113,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,May,6.3,9,12,1.5,6.3,2.7,5.7,0
114,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,June,10,13.2,16.8,1.8,9.8,3.4,7,0.2
115,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,July,12.4,15.4,18.7,1.8,12,3.4,6.7,0.4
116,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,August,11.8,14.6,18.2,1.3,11.8,2.8,6.4,0
117,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,September,7.9,11.5,14.3,1.4,8.9,2.6,5.4,-1
118,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,October,3.9,7.8,11.3,1.8,5,2.8,6.3,-1.1
119,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,November,-4,2.5,6.5,2.6,-0.3,2.8,6.8,-3.7
120,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2090-2099,C,December,-6.2,0.3,5.2,2.6,-2.6,2.9,7.8,-3.6
