community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-10-01,6.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-11-01,2.12
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-12-01,2.29
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-01-01,3.26
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-02-01,2.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-03-01,3.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-04-01,5.5
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-05-01,9.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-06-01,12.9
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-07-01,15.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-08-01,14.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-09-01,10.23
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-10-01,7.81
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-11-01,2.48
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-12-01,1.25
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-01-01,3.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-02-01,4.47
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-03-01,5.59
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-04-01,7.46
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-05-01,10.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-06-01,13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-07-01,15.8
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-08-01,15.78
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-09-01,11.53
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-10-01,6.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-11-01,3.74
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-12-01,-0.71
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-01-01,-0.93
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-02-01,0.32
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-03-01,-1.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-04-01,6.85
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-05-01,8.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-06-01,12.01
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-07-01,15.07
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-08-01,14.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-09-01,12.14
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-10-01,7.09
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-11-01,0.4
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-12-01,1.02
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-01-01,1.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-02-01,-1.13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-03-01,2.38
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-04-01,5.44
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-05-01,8.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-06-01,11.92
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-07-01,15.58
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-08-01,15.16
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-09-01,11.8
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-10-01,9.2
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-11-01,4.71
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2028-12-01,3.09
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-01-01,-0.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-02-01,-0.18
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-03-01,5.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-04-01,6.39
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-05-01,10.11
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-06-01,13.68
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-07-01,17.01
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-08-01,15.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-09-01,12.34
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-10-01,6.81
