"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",0.965287498931218,1.17471025117475
"2",2,"2090s",1.33852274227525,1.67703516130704
"3",3,"2090s",1.76871090682213,1.25250269455592
"4",4,"2090s",1.94069576495917,1.43773252931555
"5",5,"2090s",2.38289496138096,1.79517555226109
"6",6,"2090s",3.05296403983763,2.65246795320149
"7",7,"2090s",3.06233439647741,2.7427565845495
"8",8,"2090s",2.79976717246055,2.57530041850186
"9",9,"2090s",2.06637422454867,2.01319236088168
"10",10,"2090s",1.79482618976549,1.49263131184588
"11",11,"2090s",1.69143568567522,1.20273369278476
"12",12,"2090s",1.43289128524942,1.65371186801489
