model,scenario,month,NumMonth,year,date,tasmin,tasmean,tasmax
CRU-TS,historical,January,1,1901,1901 1 01,-8.3,-4.6,-1
CRU-TS,historical,January,1,1902,1902 1 01,-6.3,-2.5,1.3
CRU-TS,historical,January,1,1903,1903 1 01,-9.8,-5.8,-1.8
CRU-TS,historical,January,1,1904,1904 1 01,-9.2,-5.8,-2.5
CRU-TS,historical,January,1,1905,1905 1 01,-6.5,-3,0.5
CRU-TS,historical,January,1,1906,1906 1 01,-14,-10.1,-6.3
CRU-TS,historical,January,1,1907,1907 1 01,-10.3,-5.7,-1.2
CRU-TS,historical,January,1,1908,1908 1 01,-5.5,-2,1.4
CRU-TS,historical,January,1,1909,1909 1 01,-14.9,-11.7,-8.5
CRU-TS,historical,January,1,1910,1910 1 01,-7.1,-4,-0.9
CRU-TS,historical,January,1,1911,1911 1 01,-12.3,-8.9,-5.5
CRU-TS,historical,January,1,1912,1912 1 01,-5.3,-2.1,1
CRU-TS,historical,January,1,1913,1913 1 01,-11,-7.9,-4.8
CRU-TS,historical,January,1,1914,1914 1 01,-8.2,-4.3,-0.5
CRU-TS,historical,January,1,1915,1915 1 01,-1.9,1.3,4.5
CRU-TS,historical,January,1,1916,1916 1 01,-10.8,-7.2,-3.7
CRU-TS,historical,January,1,1917,1917 1 01,-9.3,-5.1,-1
CRU-TS,historical,January,1,1918,1918 1 01,-6.8,-2.9,1
CRU-TS,historical,January,1,1919,1919 1 01,-7.7,-4.1,-0.5
CRU-TS,historical,January,1,1920,1920 1 01,-11.8,-7.4,-3.1
CRU-TS,historical,January,1,1921,1921 1 01,-11,-6.8,-2.7
CRU-TS,historical,January,1,1922,1922 1 01,-5.5,-1.9,1.6
CRU-TS,historical,January,1,1923,1923 1 01,-9.5,-5.5,-1.5
CRU-TS,historical,January,1,1924,1924 1 01,-4.9,-1.6,1.6
CRU-TS,historical,January,1,1925,1925 1 01,-13.5,-9.6,-5.7
CRU-TS,historical,January,1,1926,1926 1 01,2.7,5.9,9.1
CRU-TS,historical,January,1,1927,1927 1 01,-7.5,-3.4,0.6
CRU-TS,historical,January,1,1928,1928 1 01,-4.3,-0.5,3.3
CRU-TS,historical,January,1,1929,1929 1 01,-3.6,-0.1,3.3
CRU-TS,historical,January,1,1930,1930 1 01,-11.5,-6.9,-2.4
CRU-TS,historical,January,1,1931,1931 1 01,-1.2,2.5,6.2
CRU-TS,historical,January,1,1932,1932 1 01,-10.6,-5.9,-1.2
CRU-TS,historical,January,1,1933,1933 1 01,-12.4,-8.2,-4.1
CRU-TS,historical,January,1,1934,1934 1 01,-10.4,-7,-3.7
CRU-TS,historical,January,1,1935,1935 1 01,-9.2,-5.5,-1.8
CRU-TS,historical,January,1,1936,1936 1 01,-5.9,-2.6,0.7
CRU-TS,historical,January,1,1937,1937 1 01,-4,-0.2,3.6
CRU-TS,historical,January,1,1938,1938 1 01,-7.3,-3.6,0
CRU-TS,historical,January,1,1939,1939 1 01,-4.9,-1.7,1.5
CRU-TS,historical,January,1,1940,1940 1 01,-2.6,1,4.6
CRU-TS,historical,January,1,1941,1941 1 01,-5.9,-2.3,1.3
CRU-TS,historical,January,1,1942,1942 1 01,-1.9,1.7,5.3
CRU-TS,historical,January,1,1943,1943 1 01,-9.6,-5.6,-1.7
CRU-TS,historical,January,1,1944,1944 1 01,-1.4,1.7,4.8
CRU-TS,historical,January,1,1945,1945 1 01,-1,2.1,5.2
CRU-TS,historical,January,1,1946,1946 1 01,-4.7,-0.2,4.3
CRU-TS,historical,January,1,1947,1947 1 01,-11.8,-6.9,-2.1
CRU-TS,historical,January,1,1948,1948 1 01,-2.9,1.3,5.5
CRU-TS,historical,January,1,1949,1949 1 01,-6.5,-1.7,3
CRU-TS,historical,January,1,1950,1950 1 01,-13.3,-7.7,-2.2
CRU-TS,historical,January,1,1951,1951 1 01,-10.5,-6.7,-3
CRU-TS,historical,January,1,1952,1952 1 01,-13.9,-9.2,-4.5
CRU-TS,historical,January,1,1953,1953 1 01,-11.4,-7.8,-4.2
CRU-TS,historical,January,1,1954,1954 1 01,-9.4,-4.7,0
CRU-TS,historical,January,1,1955,1955 1 01,-2.2,1.2,4.6
CRU-TS,historical,January,1,1956,1956 1 01,-10.6,-6.1,-1.6
CRU-TS,historical,January,1,1957,1957 1 01,-8.5,-4.2,0
CRU-TS,historical,January,1,1958,1958 1 01,-3.1,0.7,4.4
CRU-TS,historical,January,1,1959,1959 1 01,-12.6,-8.5,-4.5
CRU-TS,historical,January,1,1960,1960 1 01,-6.3,-2.1,2
CRU-TS,historical,January,1,1961,1961 1 01,-4.6,-0.6,3.3
CRU-TS,historical,January,1,1962,1962 1 01,-7.3,-2.5,2.3
CRU-TS,historical,January,1,1963,1963 1 01,-3.4,0.3,4
CRU-TS,historical,January,1,1964,1964 1 01,-6.8,-2.8,1.2
CRU-TS,historical,January,1,1965,1965 1 01,-9.7,-5.6,-1.6
CRU-TS,historical,January,1,1966,1966 1 01,-17.1,-12.6,-8.1
CRU-TS,historical,January,1,1967,1967 1 01,-10.6,-6.1,-1.7
CRU-TS,historical,January,1,1968,1968 1 01,-9.3,-5.3,-1.3
CRU-TS,historical,January,1,1969,1969 1 01,-18.3,-14.1,-10
CRU-TS,historical,January,1,1970,1970 1 01,-8.3,-5.1,-1.9
CRU-TS,historical,January,1,1971,1971 1 01,-15.3,-11.2,-7.1
CRU-TS,historical,January,1,1972,1972 1 01,-15.1,-10.5,-6
CRU-TS,historical,January,1,1973,1973 1 01,-12.1,-8.1,-4.1
CRU-TS,historical,January,1,1974,1974 1 01,-13.6,-9.9,-6.2
CRU-TS,historical,January,1,1975,1975 1 01,-8.7,-5.1,-1.5
CRU-TS,historical,January,1,1976,1976 1 01,-5.6,-2.1,1.3
CRU-TS,historical,January,1,1977,1977 1 01,1.3,4.6,7.9
CRU-TS,historical,January,1,1978,1978 1 01,-7,-3.4,0.1
CRU-TS,historical,January,1,1979,1979 1 01,-9,-4.9,-0.9
CRU-TS,historical,January,1,1980,1980 1 01,-7.8,-4.3,-0.9
CRU-TS,historical,January,1,1981,1981 1 01,5,7.6,10.2
CRU-TS,historical,January,1,1982,1982 1 01,-14.8,-11.3,-7.9
CRU-TS,historical,January,1,1983,1983 1 01,-6.4,-3.4,-0.4
CRU-TS,historical,January,1,1984,1984 1 01,-3,0.4,3.7
CRU-TS,historical,January,1,1985,1985 1 01,3.4,6.2,9
CRU-TS,historical,January,1,1986,1986 1 01,0.1,2.9,5.7
CRU-TS,historical,January,1,1987,1987 1 01,-0.7,2.6,5.9
CRU-TS,historical,January,1,1988,1988 1 01,-6.5,-3.1,0.2
CRU-TS,historical,January,1,1989,1989 1 01,-10.5,-6.5,-2.6
CRU-TS,historical,January,1,1990,1990 1 01,-7,-3.2,0.6
CRU-TS,historical,January,1,1991,1991 1 01,-7.6,-3.7,0.2
CRU-TS,historical,January,1,1992,1992 1 01,-0.1,3,6.1
CRU-TS,historical,January,1,1993,1993 1 01,-8.4,-3.6,1.1
CRU-TS,historical,January,1,1994,1994 1 01,-4.1,-1.2,1.6
CRU-TS,historical,January,1,1995,1995 1 01,-5.8,-2.3,1.2
CRU-TS,historical,January,1,1996,1996 1 01,-14.2,-10.2,-6.3
CRU-TS,historical,January,1,1997,1997 1 01,-8.1,-4.4,-0.7
CRU-TS,historical,January,1,1998,1998 1 01,-6.8,-3.7,-0.7
CRU-TS,historical,January,1,1999,1999 1 01,-8.8,-5,-1.2
CRU-TS,historical,January,1,2000,2000 1 01,-5.7,-2.6,0.4
CRU-TS,historical,January,1,2001,2001 1 01,1.6,5,8.4
CRU-TS,historical,January,1,2002,2002 1 01,-2.1,0.9,3.9
CRU-TS,historical,January,1,2003,2003 1 01,-2.6,0.8,4.2
CRU-TS,historical,January,1,2004,2004 1 01,-9.5,-6,-2.5
CRU-TS,historical,January,1,2005,2005 1 01,-5.7,-2.6,0.5
CRU-TS,historical,January,1,2006,2006 1 01,-5,-2.3,0.4
CRU-TS,historical,January,1,2007,2007 1 01,-4.5,-0.2,4.1
CRU-TS,historical,January,1,2008,2008 1 01,-7.5,-3.5,0.4
CRU-TS,historical,January,1,2009,2009 1 01,-6.6,-3.3,0
CRU-TS,historical,January,1,2010,2010 1 01,-2.6,0,2.6
CRU-TS,historical,January,1,2011,2011 1 01,-4.7,-0.9,2.8
CRU-TS,historical,January,1,2012,2012 1 01,-9.7,-5.8,-1.9
CRU-TS,historical,January,1,2013,2013 1 01,-2.4,0.8,4
CRU-TS,historical,January,1,2014,2014 1 01,2,5.4,8.8
CRU-TS,historical,January,1,2015,2015 1 01,-1.4,1.3,3.9
CRU-TS,historical,February,2,1901,1901 2 01,-9.3,-5,-0.7
CRU-TS,historical,February,2,1902,1902 2 01,-3.1,0.6,4.3
CRU-TS,historical,February,2,1903,1903 2 01,-6.2,-2.3,1.5
CRU-TS,historical,February,2,1904,1904 2 01,-13,-8.7,-4.4
CRU-TS,historical,February,2,1905,1905 2 01,-3,0.7,4.4
CRU-TS,historical,February,2,1906,1906 2 01,-4.9,-0.8,3.3
CRU-TS,historical,February,2,1907,1907 2 01,-12.3,-7.7,-3.2
CRU-TS,historical,February,2,1908,1908 2 01,-5.5,-1.6,2.2
CRU-TS,historical,February,2,1909,1909 2 01,-10.2,-6.2,-2.2
CRU-TS,historical,February,2,1910,1910 2 01,-10.2,-6.2,-2.3
CRU-TS,historical,February,2,1911,1911 2 01,-5.5,-1.5,2.5
CRU-TS,historical,February,2,1912,1912 2 01,-1.4,2.2,5.8
CRU-TS,historical,February,2,1913,1913 2 01,-4.7,-0.6,3.5
CRU-TS,historical,February,2,1914,1914 2 01,-2.8,0.5,3.8
CRU-TS,historical,February,2,1915,1915 2 01,-6.4,-2.1,2.1
CRU-TS,historical,February,2,1916,1916 2 01,-7.3,-3.3,0.6
CRU-TS,historical,February,2,1917,1917 2 01,-7.1,-2.4,2.3
CRU-TS,historical,February,2,1918,1918 2 01,-8.7,-4,0.6
CRU-TS,historical,February,2,1919,1919 2 01,-6.6,-1.9,2.7
CRU-TS,historical,February,2,1920,1920 2 01,-2.5,1.9,6.3
CRU-TS,historical,February,2,1921,1921 2 01,-8.5,-3.9,0.7
CRU-TS,historical,February,2,1922,1922 2 01,-9.7,-4.6,0.5
CRU-TS,historical,February,2,1923,1923 2 01,-4.5,-0.2,4.1
CRU-TS,historical,February,2,1924,1924 2 01,-5.9,-1.7,2.4
CRU-TS,historical,February,2,1925,1925 2 01,-11.4,-6.3,-1.3
CRU-TS,historical,February,2,1926,1926 2 01,-5,-0.7,3.6
CRU-TS,historical,February,2,1927,1927 2 01,-4.5,-0.1,4.3
CRU-TS,historical,February,2,1928,1928 2 01,-3.8,0.3,4.4
CRU-TS,historical,February,2,1929,1929 2 01,-3.3,0.3,3.9
CRU-TS,historical,February,2,1930,1930 2 01,-10.6,-5.8,-1
CRU-TS,historical,February,2,1931,1931 2 01,-1.9,2.2,6.3
CRU-TS,historical,February,2,1932,1932 2 01,-13.4,-8.2,-3
CRU-TS,historical,February,2,1933,1933 2 01,-9.1,-3.9,1.2
CRU-TS,historical,February,2,1934,1934 2 01,-0.8,3.1,7
CRU-TS,historical,February,2,1935,1935 2 01,-1.2,2.5,6.2
CRU-TS,historical,February,2,1936,1936 2 01,-13.1,-8.4,-3.8
CRU-TS,historical,February,2,1937,1937 2 01,-8.9,-4.8,-0.8
CRU-TS,historical,February,2,1938,1938 2 01,-8.9,-5.1,-1.4
CRU-TS,historical,February,2,1939,1939 2 01,-7.4,-3.5,0.3
CRU-TS,historical,February,2,1940,1940 2 01,-4.2,0.3,4.8
CRU-TS,historical,February,2,1941,1941 2 01,-2.8,1.3,5.4
CRU-TS,historical,February,2,1942,1942 2 01,-1.7,2.6,6.9
CRU-TS,historical,February,2,1943,1943 2 01,-5.8,-0.8,4.2
CRU-TS,historical,February,2,1944,1944 2 01,-3.6,0.9,5.4
CRU-TS,historical,February,2,1945,1945 2 01,-3.2,0.8,4.8
CRU-TS,historical,February,2,1946,1946 2 01,-3.3,0.2,3.7
CRU-TS,historical,February,2,1947,1947 2 01,-8.4,-3.3,1.8
CRU-TS,historical,February,2,1948,1948 2 01,-11.3,-5.7,-0.2
CRU-TS,historical,February,2,1949,1949 2 01,-13.6,-8.6,-3.6
CRU-TS,historical,February,2,1950,1950 2 01,-10.9,-6.8,-2.7
CRU-TS,historical,February,2,1951,1951 2 01,-10.6,-5.4,-0.2
CRU-TS,historical,February,2,1952,1952 2 01,-6.1,-1.6,2.9
CRU-TS,historical,February,2,1953,1953 2 01,-2.3,1.8,5.9
CRU-TS,historical,February,2,1954,1954 2 01,-10.9,-5.5,-0.2
CRU-TS,historical,February,2,1955,1955 2 01,-6.3,-1.8,2.7
CRU-TS,historical,February,2,1956,1956 2 01,-9.7,-5.3,-1
CRU-TS,historical,February,2,1957,1957 2 01,-8.1,-2.8,2.5
CRU-TS,historical,February,2,1958,1958 2 01,-6.8,-2.3,2.1
CRU-TS,historical,February,2,1959,1959 2 01,-6,-1.1,3.8
CRU-TS,historical,February,2,1960,1960 2 01,-3.9,0.5,4.9
CRU-TS,historical,February,2,1961,1961 2 01,-5.1,-1.4,2.3
CRU-TS,historical,February,2,1962,1962 2 01,-7.4,-2.4,2.5
CRU-TS,historical,February,2,1963,1963 2 01,-2.6,1.4,5.4
CRU-TS,historical,February,2,1964,1964 2 01,-1.2,2.1,5.3
CRU-TS,historical,February,2,1965,1965 2 01,-11.1,-6.4,-1.7
CRU-TS,historical,February,2,1966,1966 2 01,-7.7,-2.9,1.8
CRU-TS,historical,February,2,1967,1967 2 01,-8.4,-3.3,1.7
CRU-TS,historical,February,2,1968,1968 2 01,-4.4,-0.2,4
CRU-TS,historical,February,2,1969,1969 2 01,-10.7,-5.3,0.1
CRU-TS,historical,February,2,1970,1970 2 01,-1.2,3.3,7.8
CRU-TS,historical,February,2,1971,1971 2 01,-5.1,-1,3.1
CRU-TS,historical,February,2,1972,1972 2 01,-13.5,-8.3,-3.2
CRU-TS,historical,February,2,1973,1973 2 01,-10.4,-4.6,1.1
CRU-TS,historical,February,2,1974,1974 2 01,-7.7,-3.7,0.3
CRU-TS,historical,February,2,1975,1975 2 01,-9.4,-4.9,-0.4
CRU-TS,historical,February,2,1976,1976 2 01,-9.7,-5.4,-1.2
CRU-TS,historical,February,2,1977,1977 2 01,1.7,5.5,9.3
CRU-TS,historical,February,2,1978,1978 2 01,-4,0.6,5.2
CRU-TS,historical,February,2,1979,1979 2 01,-17.6,-12.3,-7.1
CRU-TS,historical,February,2,1980,1980 2 01,-0.5,2.9,6.3
CRU-TS,historical,February,2,1981,1981 2 01,-2.1,1.4,4.9
CRU-TS,historical,February,2,1982,1982 2 01,-8.6,-5.2,-1.8
CRU-TS,historical,February,2,1983,1983 2 01,-4.4,-0.5,3.4
CRU-TS,historical,February,2,1984,1984 2 01,-2.5,0.8,4.1
CRU-TS,historical,February,2,1985,1985 2 01,-8.9,-4.8,-0.8
CRU-TS,historical,February,2,1986,1986 2 01,-6.2,-1.3,3.5
CRU-TS,historical,February,2,1987,1987 2 01,-1.1,2.1,5.3
CRU-TS,historical,February,2,1988,1988 2 01,-3.6,0.1,3.8
CRU-TS,historical,February,2,1989,1989 2 01,-11.3,-5.1,1.1
CRU-TS,historical,February,2,1990,1990 2 01,-11.7,-7.2,-2.7
CRU-TS,historical,February,2,1991,1991 2 01,-3.2,1.1,5.4
CRU-TS,historical,February,2,1992,1992 2 01,-5,-1.3,2.4
CRU-TS,historical,February,2,1993,1993 2 01,-5.5,-0.5,4.5
CRU-TS,historical,February,2,1994,1994 2 01,-11.7,-7,-2.3
CRU-TS,historical,February,2,1995,1995 2 01,-5.7,-0.9,3.9
CRU-TS,historical,February,2,1996,1996 2 01,-4,-0.2,3.6
CRU-TS,historical,February,2,1997,1997 2 01,0.8,4,7.2
CRU-TS,historical,February,2,1998,1998 2 01,-1.7,2.1,5.9
CRU-TS,historical,February,2,1999,1999 2 01,-10.5,-5.6,-0.7
CRU-TS,historical,February,2,2000,2000 2 01,-1.4,2.6,6.6
CRU-TS,historical,February,2,2001,2001 2 01,-5.5,-0.8,3.9
CRU-TS,historical,February,2,2002,2002 2 01,-5.1,-1,3.1
CRU-TS,historical,February,2,2003,2003 2 01,-1.2,2.2,5.5
CRU-TS,historical,February,2,2004,2004 2 01,-0.9,3.1,7.1
CRU-TS,historical,February,2,2005,2005 2 01,-4.2,-0.3,3.6
CRU-TS,historical,February,2,2006,2006 2 01,-5,-0.4,4.2
CRU-TS,historical,February,2,2007,2007 2 01,-7.8,-4.6,-1.4
CRU-TS,historical,February,2,2008,2008 2 01,-6.5,-2.8,0.8
CRU-TS,historical,February,2,2009,2009 2 01,-8.4,-3.8,0.7
CRU-TS,historical,February,2,2010,2010 2 01,-0.9,3,6.9
CRU-TS,historical,February,2,2011,2011 2 01,-6.9,-2.9,1.1
CRU-TS,historical,February,2,2012,2012 2 01,-1.4,2.5,6.3
CRU-TS,historical,February,2,2013,2013 2 01,-1.4,2.2,5.8
CRU-TS,historical,February,2,2014,2014 2 01,-10,-4.8,0.4
CRU-TS,historical,February,2,2015,2015 2 01,-3.4,0.4,4.2
CRU-TS,historical,March,3,1901,1901 3 01,-3.9,0.3,4.5
CRU-TS,historical,March,3,1902,1902 3 01,-9,-4.5,0
CRU-TS,historical,March,3,1903,1903 3 01,-7,-1.9,3.2
CRU-TS,historical,March,3,1904,1904 3 01,-9.1,-4.2,0.7
CRU-TS,historical,March,3,1905,1905 3 01,-1,3,7
CRU-TS,historical,March,3,1906,1906 3 01,-4.4,1,6.5
CRU-TS,historical,March,3,1907,1907 3 01,-10,-4.4,1.2
CRU-TS,historical,March,3,1908,1908 3 01,-6.5,-2,2.5
CRU-TS,historical,March,3,1909,1909 3 01,-4.3,-0.2,3.8
CRU-TS,historical,March,3,1910,1910 3 01,-5.1,-0.8,3.4
CRU-TS,historical,March,3,1911,1911 3 01,-6.7,-2.1,2.5
CRU-TS,historical,March,3,1912,1912 3 01,-3.6,1.2,6
CRU-TS,historical,March,3,1913,1913 3 01,-6.2,-1.2,3.8
CRU-TS,historical,March,3,1914,1914 3 01,-4.3,0.1,4.5
CRU-TS,historical,March,3,1915,1915 3 01,-0.8,3.6,8
CRU-TS,historical,March,3,1916,1916 3 01,-8.3,-3.6,1
CRU-TS,historical,March,3,1917,1917 3 01,-4.7,0.2,5.1
CRU-TS,historical,March,3,1918,1918 3 01,-10.7,-4.7,1.2
CRU-TS,historical,March,3,1919,1919 3 01,-9.1,-3.4,2.3
CRU-TS,historical,March,3,1920,1920 3 01,-9.5,-3.5,2.5
CRU-TS,historical,March,3,1921,1921 3 01,-6.9,-1.2,4.5
CRU-TS,historical,March,3,1922,1922 3 01,-9.2,-3.7,1.8
CRU-TS,historical,March,3,1923,1923 3 01,-7.3,-1.6,4.1
CRU-TS,historical,March,3,1924,1924 3 01,-2,2.5,7
CRU-TS,historical,March,3,1925,1925 3 01,-6.9,-1.6,3.7
CRU-TS,historical,March,3,1926,1926 3 01,0.4,4.6,8.8
CRU-TS,historical,March,3,1927,1927 3 01,-5.6,-0.7,4.2
CRU-TS,historical,March,3,1928,1928 3 01,-8.4,-3.2,2
CRU-TS,historical,March,3,1929,1929 3 01,-6.8,-2.6,1.5
CRU-TS,historical,March,3,1930,1930 3 01,-7.2,-2,3.2
CRU-TS,historical,March,3,1931,1931 3 01,-7,-1.4,4.2
CRU-TS,historical,March,3,1932,1932 3 01,-5.2,-0.2,4.8
CRU-TS,historical,March,3,1933,1933 3 01,-8,-2,4
CRU-TS,historical,March,3,1934,1934 3 01,-6.3,-0.9,4.5
CRU-TS,historical,March,3,1935,1935 3 01,-8.4,-3.5,1.3
CRU-TS,historical,March,3,1936,1936 3 01,-7,-2.1,2.7
CRU-TS,historical,March,3,1937,1937 3 01,-4.3,0.2,4.7
CRU-TS,historical,March,3,1938,1938 3 01,-4.9,-0.2,4.6
CRU-TS,historical,March,3,1939,1939 3 01,-7.6,-2.9,1.7
CRU-TS,historical,March,3,1940,1940 3 01,-4.7,0.5,5.7
CRU-TS,historical,March,3,1941,1941 3 01,-1.1,3.1,7.3
CRU-TS,historical,March,3,1942,1942 3 01,-5.2,-0.2,4.8
CRU-TS,historical,March,3,1943,1943 3 01,-6.9,-1.6,3.7
CRU-TS,historical,March,3,1944,1944 3 01,-4.8,-0.5,3.8
CRU-TS,historical,March,3,1945,1945 3 01,-3.3,0.8,4.9
CRU-TS,historical,March,3,1946,1946 3 01,-6.2,-1.2,3.8
CRU-TS,historical,March,3,1947,1947 3 01,-1,3.2,7.4
CRU-TS,historical,March,3,1948,1948 3 01,-9.4,-3.7,2
CRU-TS,historical,March,3,1949,1949 3 01,-3.6,1.7,7
CRU-TS,historical,March,3,1950,1950 3 01,-6.2,-0.3,5.6
CRU-TS,historical,March,3,1951,1951 3 01,-10.5,-4.9,0.7
CRU-TS,historical,March,3,1952,1952 3 01,-5.9,-1.2,3.5
CRU-TS,historical,March,3,1953,1953 3 01,-7.6,-1.8,4
CRU-TS,historical,March,3,1954,1954 3 01,-6.8,-0.8,5.2
CRU-TS,historical,March,3,1955,1955 3 01,-7.5,-2.1,3.3
CRU-TS,historical,March,3,1956,1956 3 01,-8.5,-3.1,2.3
CRU-TS,historical,March,3,1957,1957 3 01,-5.1,0.8,6.7
CRU-TS,historical,March,3,1958,1958 3 01,-6,0.2,6.4
CRU-TS,historical,March,3,1959,1959 3 01,-7.8,-3.1,1.5
CRU-TS,historical,March,3,1960,1960 3 01,-6.6,-2.2,2.2
CRU-TS,historical,March,3,1961,1961 3 01,-6.9,-2,2.8
CRU-TS,historical,March,3,1962,1962 3 01,-8.6,-3.1,2.4
CRU-TS,historical,March,3,1963,1963 3 01,-6.2,-1.5,3.2
CRU-TS,historical,March,3,1964,1964 3 01,-9.8,-4.8,0.1
CRU-TS,historical,March,3,1965,1965 3 01,-0.8,3.2,7.2
CRU-TS,historical,March,3,1966,1966 3 01,-8.8,-3.7,1.4
CRU-TS,historical,March,3,1967,1967 3 01,-10.5,-4.4,1.7
CRU-TS,historical,March,3,1968,1968 3 01,-2.7,1.4,5.5
CRU-TS,historical,March,3,1969,1969 3 01,-4.9,-0.1,4.7
CRU-TS,historical,March,3,1970,1970 3 01,-1.5,3.1,7.7
CRU-TS,historical,March,3,1971,1971 3 01,-9.8,-4.5,0.8
CRU-TS,historical,March,3,1972,1972 3 01,-10.5,-5,0.5
CRU-TS,historical,March,3,1973,1973 3 01,-5.3,0.1,5.5
CRU-TS,historical,March,3,1974,1974 3 01,-9.7,-3.8,2.1
CRU-TS,historical,March,3,1975,1975 3 01,-8.7,-2.4,3.9
CRU-TS,historical,March,3,1976,1976 3 01,-6.4,-1,4.4
CRU-TS,historical,March,3,1977,1977 3 01,-4.1,0.2,4.5
CRU-TS,historical,March,3,1978,1978 3 01,-3.7,0.7,5.1
CRU-TS,historical,March,3,1979,1979 3 01,-1.1,2.2,5.5
CRU-TS,historical,March,3,1980,1980 3 01,-2.9,0.9,4.7
CRU-TS,historical,March,3,1981,1981 3 01,0.3,4.4,8.5
CRU-TS,historical,March,3,1982,1982 3 01,-6.5,-1.6,3.3
CRU-TS,historical,March,3,1983,1983 3 01,-5.9,-0.1,5.7
CRU-TS,historical,March,3,1984,1984 3 01,1,4.9,8.8
CRU-TS,historical,March,3,1985,1985 3 01,-4.2,0.4,5
CRU-TS,historical,March,3,1986,1986 3 01,-5.7,-0.6,4.5
CRU-TS,historical,March,3,1987,1987 3 01,-7.9,-1.8,4.3
CRU-TS,historical,March,3,1988,1988 3 01,-1.1,2.7,6.5
CRU-TS,historical,March,3,1989,1989 3 01,-9.7,-3.6,2.5
CRU-TS,historical,March,3,1990,1990 3 01,-2.8,2,6.8
CRU-TS,historical,March,3,1991,1991 3 01,-5.6,-0.3,5
CRU-TS,historical,March,3,1992,1992 3 01,-2,2,6
CRU-TS,historical,March,3,1993,1993 3 01,-4.7,1,6.7
CRU-TS,historical,March,3,1994,1994 3 01,-2,2.1,6.2
CRU-TS,historical,March,3,1995,1995 3 01,-8.5,-2.9,2.7
CRU-TS,historical,March,3,1996,1996 3 01,-6.1,-0.5,5.1
CRU-TS,historical,March,3,1997,1997 3 01,-7.7,-2.7,2.3
CRU-TS,historical,March,3,1998,1998 3 01,-4.6,0.9,6.4
CRU-TS,historical,March,3,1999,1999 3 01,-5,-0.2,4.6
CRU-TS,historical,March,3,2000,2000 3 01,-1.8,2.4,6.6
CRU-TS,historical,March,3,2001,2001 3 01,-3.5,0.7,4.9
CRU-TS,historical,March,3,2002,2002 3 01,-9.7,-3.5,2.7
CRU-TS,historical,March,3,2003,2003 3 01,-6.1,-0.8,4.5
CRU-TS,historical,March,3,2004,2004 3 01,-4.3,-0.1,4.1
CRU-TS,historical,March,3,2005,2005 3 01,0.2,3.8,7.4
CRU-TS,historical,March,3,2006,2006 3 01,-7.3,-2.6,2.1
CRU-TS,historical,March,3,2007,2007 3 01,-9.6,-5.3,-1
CRU-TS,historical,March,3,2008,2008 3 01,-3.4,1.1,5.6
CRU-TS,historical,March,3,2009,2009 3 01,-7.3,-2.8,1.7
CRU-TS,historical,March,3,2010,2010 3 01,-1.7,1.9,5.5
CRU-TS,historical,March,3,2011,2011 3 01,-9.2,-2.9,3.4
CRU-TS,historical,March,3,2012,2012 3 01,-6.7,-1.6,3.5
CRU-TS,historical,March,3,2013,2013 3 01,-7.5,-1.9,3.7
CRU-TS,historical,March,3,2014,2014 3 01,-7.2,-1,5.2
CRU-TS,historical,March,3,2015,2015 3 01,-2.3,1.9,6.1
CRU-TS,historical,April,4,1901,1901 4 01,-2.9,1.7,6.3
CRU-TS,historical,April,4,1902,1902 4 01,-2.9,1.2,5.3
CRU-TS,historical,April,4,1903,1903 4 01,-3.8,0.4,4.6
CRU-TS,historical,April,4,1904,1904 4 01,-0.4,3.5,7.4
CRU-TS,historical,April,4,1905,1905 4 01,-0.4,4,8.4
CRU-TS,historical,April,4,1906,1906 4 01,-1.6,2.4,6.5
CRU-TS,historical,April,4,1907,1907 4 01,-2.7,2.4,7.5
CRU-TS,historical,April,4,1908,1908 4 01,-2.9,1.5,5.9
CRU-TS,historical,April,4,1909,1909 4 01,-5.1,0,5.1
CRU-TS,historical,April,4,1910,1910 4 01,-3.3,1.6,6.5
CRU-TS,historical,April,4,1911,1911 4 01,-5.3,-0.6,4.1
CRU-TS,historical,April,4,1912,1912 4 01,-2.5,3,8.5
CRU-TS,historical,April,4,1913,1913 4 01,-3.2,1.9,7
CRU-TS,historical,April,4,1914,1914 4 01,-1.8,3.3,8.4
CRU-TS,historical,April,4,1915,1915 4 01,0.7,5.2,9.8
CRU-TS,historical,April,4,1916,1916 4 01,-1.1,3.7,8.5
CRU-TS,historical,April,4,1917,1917 4 01,-3.6,2.5,8.6
CRU-TS,historical,April,4,1918,1918 4 01,-3.3,1.2,5.7
CRU-TS,historical,April,4,1919,1919 4 01,-1.4,3.1,7.6
CRU-TS,historical,April,4,1920,1920 4 01,-6.5,-0.7,5.1
CRU-TS,historical,April,4,1921,1921 4 01,-3,2,7
CRU-TS,historical,April,4,1922,1922 4 01,-3,1.8,6.6
CRU-TS,historical,April,4,1923,1923 4 01,-2.1,3.1,8.3
CRU-TS,historical,April,4,1924,1924 4 01,-5.4,-0.7,4
CRU-TS,historical,April,4,1925,1925 4 01,-3.6,1.6,6.8
CRU-TS,historical,April,4,1926,1926 4 01,0,4.5,9
CRU-TS,historical,April,4,1927,1927 4 01,-6.5,-1.5,3.5
CRU-TS,historical,April,4,1928,1928 4 01,-4,1.1,6.2
CRU-TS,historical,April,4,1929,1929 4 01,-4.4,0.7,5.8
CRU-TS,historical,April,4,1930,1930 4 01,-3.3,2,7.3
