"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",0.727950245076534,1.72773513267421
"2",2,"2060s",1.61318569158742,1.33117167655227
"3",3,"2060s",1.49791428179901,0.947468916304983
"4",4,"2060s",1.32100825966759,0.733041663252834
"5",5,"2060s",0.945648251476581,0.988566949939589
"6",6,"2060s",1.13494400357929,1.18982024834134
"7",7,"2060s",1.12621733909659,1.40556525854365
"8",8,"2060s",1.10680626128556,1.37392744768534
"9",9,"2060s",1.14290663228802,1.10399971141023
"10",10,"2060s",1.3388870771322,1.08634416784715
"11",11,"2060s",1.29402635130344,0.939501976030754
"12",12,"2060s",1.10031300330356,1.17132918523673
