"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",1.175122986339,1.03963400128988
"2",2,"2060s",1.17292181301732,0.936798004671372
"3",3,"2060s",1.47698103677923,1.11096673443834
"4",4,"2060s",1.5102649716708,0.811533045882443
"5",5,"2060s",1.51341263627199,0.838553728586473
"6",6,"2060s",1.12603481756612,1.26818548557699
"7",7,"2060s",1.30201591250478,1.40031664475119
"8",8,"2060s",0.955817490016354,1.21862054563994
"9",9,"2060s",1.22152264954423,1.05250247545609
"10",10,"2060s",1.13028831816422,0.799599543246334
"11",11,"2060s",1.45325580161001,0.842835258870402
"12",12,"2060s",1.2768750078473,1.13840168634187
