"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2030s",3.14901673342949,1.27837903933234
"02","2030s",3.26349401012676,1.9346522023178
"03","2030s",2.98135806808315,2.73710406753174
"04","2030s",2.21212126803156,3.42048574955558
"05","2030s",0.393796752232795,2.29589903780478
"06","2030s",-0.530240609477101,1.51788055123244
"07","2030s",-0.244571260086997,1.05875829507604
"08","2030s",0.616436986589361,0.829713486693339
"09","2030s",1.77046180278342,0.591069712780218
"10","2030s",2.91415944647839,0.683851803138076
"11","2030s",3.08385289233653,1.60806514614215
"12","2030s",3.57648355187379,2.09462162448076
