"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",4.08574353506944,0.923344007945387
"02","2060s",4.00697721186106,1.18845342637105
"03","2060s",3.67271357770195,1.34902429245098
"04","2060s",4.21542183986273,1.27441129085488
"05","2060s",2.95196554607268,1.27241147356028
"06","2060s",2.07924930093822,1.02220317557301
"07","2060s",2.17218649788024,0.796690929729689
"08","2060s",2.25398608222102,0.708788644289941
"09","2060s",3.11283062430186,0.674495603379142
"10","2060s",4.02753017095983,0.770146579642341
"11","2060s",4.43409219038168,1.4310829503647
"12","2060s",4.23862861657391,1.27045011237512
