"","pond_name","Decade","Scenario","Model","month","mean_med_temp"
"94","BVS","Other","8.5","CRD85",10,12.754927935766
"95","BVS","Other","8.5","CRD85",11,9.5163996709065
"96","BVS","Other","8.5","CRD85",12,6.95084981982637
"97","CAB","2030s","4.5","CRD45",1,4.24967631553086
"98","CAB","2030s","4.5","CRD45",2,3.91631226825528
"99","CAB","2030s","4.5","CRD45",3,3.19535216677814
"100","CAB","2030s","4.5","CRD45",4,4.24991451061531
"101","CAB","2030s","4.5","CRD45",5,6.73748537090847
"102","CAB","2030s","4.5","CRD45",6,9.61703336628259
"103","CAB","2030s","4.5","CRD45",7,11.9488600727869
"104","CAB","2030s","4.5","CRD45",8,13.0676988304467
"105","CAB","2030s","4.5","CRD45",9,12.4023304911311
"106","CAB","2030s","4.5","CRD45",10,10.3319370711207
"107","CAB","2030s","4.5","CRD45",11,7.21240778025111
"108","CAB","2030s","4.5","CRD45",12,5.82674310932701
"109","CAB","2030s","8.5","CRD85",1,3.5155679424905
"110","CAB","2030s","8.5","CRD85",2,2.53329130686447
"111","CAB","2030s","8.5","CRD85",3,2.77163239756366
"112","CAB","2030s","8.5","CRD85",4,3.86711949846851
"113","CAB","2030s","8.5","CRD85",5,6.61926843376232
"114","CAB","2030s","8.5","CRD85",6,9.51050650871317
"115","CAB","2030s","8.5","CRD85",7,11.9602245073686
"116","CAB","2030s","8.5","CRD85",8,13.1021905043998
"117","CAB","2030s","8.5","CRD85",9,12.6969811400383
"118","CAB","2030s","8.5","CRD85",10,10.9764718430434
"119","CAB","2030s","8.5","CRD85",11,7.10929606065337
"120","CAB","2030s","8.5","CRD85",12,5.34888757721972
"121","CAB","2060s","4.5","CRD45",1,6.17830961451591
"122","CAB","2060s","4.5","CRD45",2,5.21333692356753
"123","CAB","2060s","4.5","CRD45",3,4.66896424322665
"124","CAB","2060s","4.5","CRD45",4,7.95450282264868
"125","CAB","2060s","4.5","CRD45",5,10.3099577053835
"126","CAB","2060s","4.5","CRD45",6,12.1033409696298
"127","CAB","2060s","4.5","CRD45",7,13.8801019412197
"128","CAB","2060s","4.5","CRD45",8,14.5557814933267
"129","CAB","2060s","4.5","CRD45",9,13.8041333064062
"130","CAB","2060s","4.5","CRD45",10,11.9467412839943
"131","CAB","2060s","4.5","CRD45",11,9.12079644090177
"132","CAB","2060s","4.5","CRD45",12,6.88683078559262
"133","CAB","2060s","8.5","CRD85",1,6.92384388043977
"134","CAB","2060s","8.5","CRD85",2,5.68649033305363
"135","CAB","2060s","8.5","CRD85",3,6.06791704145226
"136","CAB","2060s","8.5","CRD85",4,7.51782160813142
"137","CAB","2060s","8.5","CRD85",5,10.2856669505126
"138","CAB","2060s","8.5","CRD85",6,12.4727158357842
"139","CAB","2060s","8.5","CRD85",7,15.3654629428094
"140","CAB","2060s","8.5","CRD85",8,15.7699284322254
"141","CAB","2060s","8.5","CRD85",9,14.8965005111645
"142","CAB","2060s","8.5","CRD85",10,15.235330357554
"143","CAB","2060s","8.5","CRD85",11,12.1573003525008
"144","CAB","2060s","8.5","CRD85",12,9.35453391310797
"145","CAB","2090s","4.5","CRD45",1,7.94098888698738
"146","CAB","2090s","4.5","CRD45",2,6.26110756971929
"147","CAB","2090s","4.5","CRD45",3,6.22035514310989
"148","CAB","2090s","4.5","CRD45",4,9.4177886626462
"149","CAB","2090s","4.5","CRD45",5,11.4923964673072
"150","CAB","2090s","4.5","CRD45",6,13.2887375290862
"151","CAB","2090s","4.5","CRD45",7,14.9208636679456
"152","CAB","2090s","4.5","CRD45",8,15.8431329490714
"153","CAB","2090s","4.5","CRD45",9,14.9233900907034
"154","CAB","2090s","4.5","CRD45",10,13.1162917683882
"155","CAB","2090s","4.5","CRD45",11,10.9901406572275
"156","CAB","2090s","4.5","CRD45",12,9.66999123683058
"157","CAB","2090s","8.5","CRD85",1,10.9743500499318
"158","CAB","2090s","8.5","CRD85",2,8.52275730028978
"159","CAB","2090s","8.5","CRD85",3,9.26216249302773
"160","CAB","2090s","8.5","CRD85",4,11.0107990303447
"161","CAB","2090s","8.5","CRD85",5,13.7948371133843
"162","CAB","2090s","8.5","CRD85",6,15.0243101552755
"163","CAB","2090s","8.5","CRD85",7,18.1977187503827
"164","CAB","2090s","8.5","CRD85",8,17.983673862139
"165","CAB","2090s","8.5","CRD85",9,17.0266785994849
"166","CAB","2090s","8.5","CRD85",10,18.8938050623487
"167","CAB","2090s","8.5","CRD85",11,15.0232569415855
"168","CAB","2090s","8.5","CRD85",12,12.4808031901507
"169","CAB","Other","4.5","CRD45",1,4.1384137840405
"170","CAB","Other","4.5","CRD45",2,3.68207439337688
"171","CAB","Other","4.5","CRD45",3,3.21774926499201
"172","CAB","Other","4.5","CRD45",4,5.25113859110738
"173","CAB","Other","4.5","CRD45",5,8.04550102498763
"174","CAB","Other","4.5","CRD45",6,10.8173371311473
"175","CAB","Other","4.5","CRD45",7,12.7681255119245
"176","CAB","Other","4.5","CRD45",8,13.5381391481304
"177","CAB","Other","4.5","CRD45",9,12.639269036941
"178","CAB","Other","4.5","CRD45",10,10.417860775469
"179","CAB","Other","4.5","CRD45",11,7.39182448785478
"180","CAB","Other","4.5","CRD45",12,5.39321943681162
"181","CAB","Other","8.5","CRD85",1,5.34905284899854
"182","CAB","Other","8.5","CRD85",2,4.05145087853226
"183","CAB","Other","8.5","CRD85",3,4.42153494390402
"184","CAB","Other","8.5","CRD85",4,5.7165902742701
"185","CAB","Other","8.5","CRD85",5,8.71575753305056
"186","CAB","Other","8.5","CRD85",6,11.3962098004559
"187","CAB","Other","8.5","CRD85",7,13.9864098720055
"188","CAB","Other","8.5","CRD85",8,14.4465171189348
"189","CAB","Other","8.5","CRD85",9,13.5323885956332
"190","CAB","Other","8.5","CRD85",10,12.9551819668449
"191","CAB","Other","8.5","CRD85",11,9.63584256095143
"192","CAB","Other","8.5","CRD85",12,7.09596245362119
"193","CAN","2030s","4.5","CRD45",1,6.82707217037867
"194","CAN","2030s","4.5","CRD45",2,6.50504165485817
"195","CAN","2030s","4.5","CRD45",3,5.79954773105339
"196","CAN","2030s","4.5","CRD45",4,6.82973909430603
"197","CAN","2030s","4.5","CRD45",5,9.31934915761202
"198","CAN","2030s","4.5","CRD45",6,12.201507902481
"199","CAN","2030s","4.5","CRD45",7,14.5492635123835
"200","CAN","2030s","4.5","CRD45",8,15.6545112293811
"201","CAN","2030s","4.5","CRD45",9,14.9905290510519
"202","CAN","2030s","4.5","CRD45",10,12.9116497579018
"203","CAN","2030s","4.5","CRD45",11,9.7976341822144
"204","CAN","2030s","4.5","CRD45",12,8.41268007040939
