"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",5.39720693584028,1.30340927071861
"02","2090s",4.69480536614759,1.34870501094325
"03","2090s",4.71549166157038,1.30846777488859
"04","2090s",5.13629695005996,1.41633128664435
"05","2090s",3.63194965363272,1.12941250186286
"06","2090s",3.06740786582667,0.994220212547596
"07","2090s",3.16657421018141,0.759445016384924
"08","2090s",3.55422041226723,0.359920414972602
"09","2090s",4.20776421811765,0.230108273464499
"10","2090s",5.13868753663657,0.598084877894442
"11","2090s",5.85494891359486,1.39561351538923
"12","2090s",6.40230297612288,1.95218502415679
