"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",5.95226224954702,2.20372543227582
"02","2060s",5.20948509594649,1.47307732592048
"03","2060s",5.39509468391957,1.5084756071917
"04","2060s",4.99734218707473,1.32166851079429
"05","2060s",3.64412396157017,1.35572461920108
"06","2060s",2.09029442781101,1.05425815686329
"07","2060s",2.98861922616841,1.20882176030046
"08","2060s",3.13471215352919,0.855484556351429
"09","2060s",4.05335264242757,0.584487259178101
"10","2060s",7.60257775664947,1.09633455794108
"11","2060s",7.43846523908015,1.06131680982619
"12","2060s",6.79653336192399,1.40458730531013
