"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2030s",2.54406064388899,2.06652864031524
"02","2030s",2.05923983119505,2.16747208497365
"03","2030s",2.10390641494406,2.05166207817272
"04","2030s",1.35194241522556,1.66297938259101
"05","2030s",-0.0211338234149966,1.29841094841298
"06","2030s",-0.865470390528117,0.919223843539869
"07","2030s",-0.422788080754223,1.18966441504572
"08","2030s",0.450000423348801,0.922275470367181
"09","2030s",1.85069777203204,0.718612927630827
"10","2030s",3.33017953343178,1.48649218883539
"11","2030s",2.38920125116263,1.20444111787652
"12","2030s",2.78259525200722,1.78668086307989
