"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",4.8729555860926,2.17720057360891
"02","2060s",5.009450068744,1.35691231516068
"03","2060s",4.56798834303668,1.35190526751624
"04","2060s",4.19811143464594,1.30434245382344
"05","2060s",2.83241896702263,1.14015085195596
"06","2060s",1.95492347728778,0.868613385097184
"07","2060s",2.5368252222323,0.958756926158284
"08","2060s",2.87177912768943,0.736842659500573
"09","2060s",3.89463253743639,0.53607519113555
"10","2060s",7.35205703819714,1.1119029850568
"11","2060s",6.44528283176365,0.913864839815778
"12","2060s",5.77723085367807,1.63560632907676
