year,month,model,temperature,rcp,site,date
2094,Mar,Model1,6.19225552063237,4.5,CRD,2094-03-01
2094,Apr,Model1,8.55633789543483,4.5,CRD,2094-04-01
2094,May,Model1,10.2025501365011,4.5,CRD,2094-05-01
2094,Jun,Model1,12.7516952717726,4.5,CRD,2094-06-01
2094,Jul,Model1,14.5208955768107,4.5,CRD,2094-07-01
2094,Aug,Model1,15.5019378256999,4.5,CRD,2094-08-01
2094,Sep,Model1,14.8112903189181,4.5,CRD,2094-09-01
2013,Jan,Model1,2.20641196623897,4.5,CRD,2013-01-01
2094,Oct,Model1,12.7948112204598,4.5,CRD,2094-10-01
2094,Nov,Model1,11.2783352040442,4.5,CRD,2094-11-01
2094,Dec,Model1,10.0339350909037,4.5,CRD,2094-12-01
2095,Jan,Model1,8.32026719525699,4.5,CRD,2095-01-01
2095,Feb,Model1,6.93956222143165,4.5,CRD,2095-02-01
2095,Mar,Model1,7.29051640534821,4.5,CRD,2095-03-01
2095,Apr,Model1,8.26470302134038,4.5,CRD,2095-04-01
2095,May,Model1,10.4820236003842,4.5,CRD,2095-05-01
2095,Jun,Model1,11.9705744481771,4.5,CRD,2095-06-01
2095,Jul,Model1,13.8107580281985,4.5,CRD,2095-07-01
2012,Nov,Model1,4.34,4.5,CRD,2012-11-01
2013,Feb,Model1,0.230821836199277,4.5,CRD,2013-02-01
2095,Aug,Model1,15.3135384639551,4.5,CRD,2095-08-01
2095,Sep,Model1,14.6348199973132,4.5,CRD,2095-09-01
2095,Oct,Model1,13.0327743307388,4.5,CRD,2095-10-01
2095,Nov,Model1,10.2984560386156,4.5,CRD,2095-11-01
2095,Dec,Model1,10.3708369198487,4.5,CRD,2095-12-01
2096,Jan,Model1,9.21522707001657,4.5,CRD,2096-01-01
2096,Feb,Model1,3.41764699953972,4.5,CRD,2096-02-01
2096,Mar,Model1,4.85758138198567,4.5,CRD,2096-03-01
2096,Apr,Model1,9.76135444305953,4.5,CRD,2096-04-01
2096,May,Model1,12.3543110802495,4.5,CRD,2096-05-01
2013,Mar,Model1,-0.226241996917515,4.5,CRD,2013-03-01
2096,Jun,Model1,14.0316655517315,4.5,CRD,2096-06-01
2096,Jul,Model1,15.6762306250038,4.5,CRD,2096-07-01
2096,Aug,Model1,16.2163897680486,4.5,CRD,2096-08-01
2096,Sep,Model1,15.2285621741983,4.5,CRD,2096-09-01
2096,Oct,Model1,13.9644253598087,4.5,CRD,2096-10-01
2096,Nov,Model1,12.1744349649921,4.5,CRD,2096-11-01
2096,Dec,Model1,10.9785172251445,4.5,CRD,2096-12-01
2097,Jan,Model1,9.18128524211046,4.5,CRD,2097-01-01
2097,Feb,Model1,7.56318036952108,4.5,CRD,2097-02-01
2097,Mar,Model1,4.65895401664138,4.5,CRD,2097-03-01
2013,Apr,Model1,1.38132478151112,4.5,CRD,2013-04-01
2097,Apr,Model1,7.20334855104442,4.5,CRD,2097-04-01
2097,May,Model1,9.83381706860364,4.5,CRD,2097-05-01
2097,Jun,Model1,12.090991739107,4.5,CRD,2097-06-01
2097,Jul,Model1,14.4656685782344,4.5,CRD,2097-07-01
2097,Aug,Model1,15.7420780443734,4.5,CRD,2097-08-01
2097,Sep,Model1,14.7621417957444,4.5,CRD,2097-09-01
2097,Oct,Model1,13.0407168829505,4.5,CRD,2097-10-01
2097,Nov,Model1,9.62623977384311,4.5,CRD,2097-11-01
2097,Dec,Model1,8.80940273973321,4.5,CRD,2097-12-01
2098,Jan,Model1,7.29277963591556,4.5,CRD,2098-01-01
2013,May,Model1,4.09436522876931,4.5,CRD,2013-05-01
2098,Feb,Model1,8.08921006227663,4.5,CRD,2098-02-01
2098,Mar,Model1,6.29164295885872,4.5,CRD,2098-03-01
2098,Apr,Model1,8.70790401082546,4.5,CRD,2098-04-01
2098,May,Model1,10.4421218586877,4.5,CRD,2098-05-01
2098,Jun,Model1,12.5349953543701,4.5,CRD,2098-06-01
2098,Jul,Model1,14.3267000873274,4.5,CRD,2098-07-01
2098,Aug,Model1,15.3288958028811,4.5,CRD,2098-08-01
2098,Sep,Model1,14.4369864096298,4.5,CRD,2098-09-01
2098,Oct,Model1,12.3752324338441,4.5,CRD,2098-10-01
2098,Nov,Model1,8.61901854626996,4.5,CRD,2098-11-01
2013,Jun,Model1,7.19243420770202,4.5,CRD,2013-06-01
2098,Dec,Model1,7.82217536239702,4.5,CRD,2098-12-01
2099,Jan,Model1,6.61813358754394,4.5,CRD,2099-01-01
2099,Feb,Model1,5.66113183127971,4.5,CRD,2099-02-01
2099,Mar,Model1,7.87990023799037,4.5,CRD,2099-03-01
2099,Apr,Model1,13.4243480458991,4.5,CRD,2099-04-01
2099,May,Model1,14.3924092058174,4.5,CRD,2099-05-01
2099,Jun,Model1,14.9424732155264,4.5,CRD,2099-06-01
2099,Jul,Model1,15.6070048015364,4.5,CRD,2099-07-01
2099,Aug,Model1,15.852506213892,4.5,CRD,2099-08-01
2099,Sep,Model1,14.6428083257786,4.5,CRD,2099-09-01
2013,Jul,Model1,10.2155478842612,4.5,CRD,2013-07-01
2099,Oct,Model1,12.1111170439099,4.5,CRD,2099-10-01
2099,Nov,Model1,9.82773412511473,4.5,CRD,2099-11-01
2099,Dec,Model1,8.20087608170822,4.5,CRD,2099-12-01
2100,Jan,Model1,7.10218400217548,4.5,CRD,2100-01-01
2100,Feb,Model1,7.95798900993329,4.5,CRD,2100-02-01
2100,Mar,Model1,8.37371692879059,4.5,CRD,2100-03-01
2100,Apr,Model1,12.6575144447368,4.5,CRD,2100-04-01
2100,May,Model1,14.3378614041348,4.5,CRD,2100-05-01
2100,Jun,Model1,14.9377656840381,4.5,CRD,2100-06-01
2100,Jul,Model1,15.4911351445349,4.5,CRD,2100-07-01
2013,Aug,Model1,12.0091058494879,4.5,CRD,2013-08-01
2100,Aug,Model1,15.293872437477,4.5,CRD,2100-08-01
2100,Sep,Model1,14.5755517646725,4.5,CRD,2100-09-01
2100,Oct,Model1,13.0329727606671,4.5,CRD,2100-10-01
2100,Nov,Model1,10.7873135601884,4.5,CRD,2100-11-01
2100,Dec,Model1,8.83157166930432,4.5,CRD,2100-12-01
2013,Sep,Model1,12.0129018614275,4.5,CRD,2013-09-01
2013,Oct,Model1,9.91343048352484,4.5,CRD,2013-10-01
2013,Nov,Model1,6.70705288085419,4.5,CRD,2013-11-01
2012,Dec,Model1,3,4.5,CRD,2012-12-01
2013,Dec,Model1,3.31785708029877,4.5,CRD,2013-12-01
2014,Jan,Model1,4.87205529886108,4.5,CRD,2014-01-01
2014,Feb,Model1,4.30118719813447,4.5,CRD,2014-02-01
2014,Mar,Model1,4.8196021989376,4.5,CRD,2014-03-01
2014,Apr,Model1,5.91436056649699,4.5,CRD,2014-04-01
2014,May,Model1,8.10844148668121,4.5,CRD,2014-05-01
2014,Jun,Model1,10.0939794921911,4.5,CRD,2014-06-01
2014,Jul,Model1,11.7691940469715,4.5,CRD,2014-07-01
2014,Aug,Model1,12.5653223035919,4.5,CRD,2014-08-01
2014,Sep,Model1,11.928447565678,4.5,CRD,2014-09-01
2013,Jan,Model1,2.12,4.5,CRD,2013-01-01
2014,Oct,Model1,10.711480749277,4.5,CRD,2014-10-01
2014,Nov,Model1,8.53252740480265,4.5,CRD,2014-11-01
2014,Dec,Model1,5.4860200080602,4.5,CRD,2014-12-01
2015,Jan,Model1,2.52162273673318,4.5,CRD,2015-01-01
2015,Feb,Model1,1.13296806453116,4.5,CRD,2015-02-01
2015,Mar,Model1,0.733573208746401,4.5,CRD,2015-03-01
2015,Apr,Model1,1.99017463873604,4.5,CRD,2015-04-01
2015,May,Model1,3.93047797135731,4.5,CRD,2015-05-01
2015,Jun,Model1,6.73904225813286,4.5,CRD,2015-06-01
2015,Jul,Model1,10.1489331006352,4.5,CRD,2015-07-01
2013,Feb,Model1,2.06,4.5,CRD,2013-02-01
2015,Aug,Model1,10.9128741149246,4.5,CRD,2015-08-01
2015,Sep,Model1,10.4490205770625,4.5,CRD,2015-09-01
2015,Oct,Model1,8.91525192211685,4.5,CRD,2015-10-01
2015,Nov,Model1,5.94169969132104,4.5,CRD,2015-11-01
2015,Dec,Model1,2.5728516432933,4.5,CRD,2015-12-01
2016,Jan,Model1,-0.367654803791972,4.5,CRD,2016-01-01
2016,Feb,Model1,-1.59012028762308,4.5,CRD,2016-02-01
2016,Mar,Model1,-1.06161702184376,4.5,CRD,2016-03-01
2016,Apr,Model1,1.53832083003501,4.5,CRD,2016-04-01
2016,May,Model1,4.90522000113183,4.5,CRD,2016-05-01
2013,Mar,Model1,1.55,4.5,CRD,2013-03-01
2016,Jun,Model1,8.07136676011917,4.5,CRD,2016-06-01
2016,Jul,Model1,9.62027798608386,4.5,CRD,2016-07-01
2016,Aug,Model1,10.9957077804855,4.5,CRD,2016-08-01
2016,Sep,Model1,10.8226514151968,4.5,CRD,2016-09-01
2016,Oct,Model1,9.01366404882618,4.5,CRD,2016-10-01
2016,Nov,Model1,4.10075367863746,4.5,CRD,2016-11-01
2016,Dec,Model1,1.11857735603311,4.5,CRD,2016-12-01
2017,Jan,Model1,-0.108521022904398,4.5,CRD,2017-01-01
2017,Feb,Model1,-0.226768664008149,4.5,CRD,2017-02-01
2017,Mar,Model1,-1.96161698016483,4.5,CRD,2017-03-01
2013,Apr,Model1,1.02,4.5,CRD,2013-04-01
2017,Apr,Model1,0.512720652712217,4.5,CRD,2017-04-01
