"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",6.84268540537092,1.40113112922837
"02","2090s",5.60984145673282,1.50515255210101
"03","2090s",5.98361907778483,1.12394242257418
"04","2090s",7.375384857165,1.83422797533111
"05","2090s",5.14659038153787,1.49048750478532
"06","2090s",3.13259276013651,1.0362430289599
"07","2090s",2.72214259199135,0.638585447189157
"08","2090s",3.39742139168079,0.325666800211092
"09","2090s",4.28896432371886,0.30911671508361
"10","2090s",5.69744879515368,0.623163508787207
"11","2090s",6.84950084949886,1.3822518687542
"12","2090s",7.42089355570487,1.54459190829179
