"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",9.99391425753581,0.711716474655935
"02","2090s",8.03519558573339,0.640407201157398
"03","2090s",8.59487013935935,0.595343350249398
"04","2090s",8.49379149675659,0.767434277299341
"05","2090s",7.16030228642293,0.778601734360818
"06","2090s",4.64296601211522,0.569639650298329
"07","2090s",5.81816042919393,0.720290188838372
"08","2090s",5.34211319356052,0.577051137224209
"09","2090s",6.18697831665589,0.405105441606013
"10","2090s",11.2608230308799,1.12148218092245
"11","2090s",10.3029343387423,1.01214042806257
"12","2090s",9.91283076893304,0.877900668947641
