"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2030s",1.98463047224587,1.81412179093942
"02","2030s",1.69786309767909,2.24341138282227
"03","2030s",1.32517932318782,1.84916979642562
"04","2030s",0.944248407129029,1.36390535180679
"05","2030s",-0.182328333150609,1.1017852136292
"06","2030s",-0.499336811443164,0.751463197265965
"07","2030s",-0.124759594596445,0.777249730525931
"08","2030s",0.5758549692809,0.755320488958954
"09","2030s",1.91928139998589,0.60704465211176
"10","2030s",2.9479652575389,1.58039558153333
"11","2030s",2.1716866100086,1.0245618899325
"12","2030s",2.549785077616,1.84706498348007
