"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",4.88062523002359,2.17419861231806
"02","2060s",5.03099033738404,1.34577135795829
"03","2060s",4.58336584535625,1.33425121179124
"04","2060s",4.21658139363421,1.29533782362532
"05","2060s",2.83693616642745,1.13456571942381
"06","2060s",1.94322060905437,0.866379163898443
"07","2060s",2.52549673082734,0.954552272066596
"08","2060s",2.8682435620796,0.743918239358965
"09","2060s",3.889188206452,0.537593228759195
"10","2060s",7.33166499275169,1.11225785651761
"11","2060s",6.44262404512184,0.912712824112934
"12","2060s",5.76592575300057,1.63081588990994
