"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","NA","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4","std","precision"
"1",2012-01-01,"YAKUTAT AIRPORT",-4.53,5.6,-23.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.375,0.018385521401896
"2",2012-02-01,"YAKUTAT AIRPORT",0.51,8.9,-13.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.0307787011388119
"3",2012-03-01,"YAKUTAT AIRPORT",-1.39,10,-13.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.825,0.0294719003849767
"4",2012-04-01,"YAKUTAT AIRPORT",3.35,13.9,-7.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.275,0.0359380966285573
"5",2012-05-01,"YAKUTAT AIRPORT",5.56,13.9,-1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,0.0711111111111111
"6",2012-06-01,"YAKUTAT AIRPORT",9.22,18.3,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.575,0.047776881961241
"7",2012-07-01,"YAKUTAT AIRPORT",11.15,18.9,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,0.0711111111111111
"8",2012-08-01,"YAKUTAT AIRPORT",11.4,19.4,0.6,"YF",NA,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA,4.7,0.0452693526482571
"9",2012-09-01,"YAKUTAT AIRPORT",9.16,16.1,0.6,"YF",NA,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA,3.875,0.0665972944849115
"10",2012-10-01,"YAKUTAT AIRPORT",2.79,11.1,-11.1,"YF",NA,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA,5.55,0.0324648973297622
"11",2012-11-01,"YAKUTAT AIRPORT",-0.54,7.8,-13.9,"YF",NA,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA,5.425,0.0339782114718937
"12",2012-12-01,"YAKUTAT AIRPORT",-3.89,5,-16.7,"YF",NA,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA,5.425,0.0339782114718937
"13",2013-01-01,"YAKUTAT AIRPORT",-0.31,5.6,-14.4,"YF",NA,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA,5,0.04
"14",2013-02-01,"YAKUTAT AIRPORT",1.44,6.1,-5.6,"YF",NA,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA,2.925,0.116882168164219
"15",2013-03-01,"YAKUTAT AIRPORT",-1.7,5.6,-13.3,"YF",NA,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA,4.725,0.0447915791831136
"16",2013-04-01,"YAKUTAT AIRPORT",0.31,6.1,-11,"YF",NA,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA,4.275,0.0547176909134434
"17",2013-05-01,"YAKUTAT AIRPORT",6.48,17.2,-2.7,"YF",NA,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA,4.975,0.0404030201257544
"18",2013-06-01,"YAKUTAT AIRPORT",11.87,27.2,2.8,"YF",NA,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA,6.1,0.0268744961031981
"19",2013-07-01,"YAKUTAT AIRPORT",12.9,21.7,4.4,"YF",NA,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA,4.325,0.0534598549901434
"20",2013-08-01,"YAKUTAT AIRPORT",13.39,20,5.6,"YF",NA,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA,3.6,0.0771604938271605
"21",2013-09-01,"YAKUTAT AIRPORT",10.66,16.7,1.1,"YF",NA,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA,3.9,0.0657462195923734
"22",2013-10-01,"YAKUTAT AIRPORT",6.86,13.3,-2.7,"YF",NA,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA,4,0.0625
"23",2013-11-01,"YAKUTAT AIRPORT",-0.49,7.8,-14.3,"YF",NA,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA,5.525,0.0327593620114248
"24",2013-12-01,"YAKUTAT AIRPORT",-2.52,5.6,-16,"YF",NA,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA,5.4,0.0342935528120713
"25",2014-01-01,"YAKUTAT AIRPORT",2.27,10,-6.6,"YF",NA,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA,4.15,0.0580635796196835
"26",2014-02-01,"YAKUTAT AIRPORT",-4.65,8.9,-19.3,"YF",NA,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA,7.05,0.0201197122881143
"27",2014-03-01,"YAKUTAT AIRPORT",-1.1,8.3,-16.6,"YF",NA,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA,6.225,0.025806035386526
"28",2014-04-01,"YAKUTAT AIRPORT",2.92,13.3,-7.7,"YF",NA,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA,5.25,0.036281179138322
"29",2014-05-01,"YAKUTAT AIRPORT",8.42,22.8,-2.1,"YF",NA,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA,6.225,0.025806035386526
"30",2014-06-01,"YAKUTAT AIRPORT",9.94,20,1.7,"YF",NA,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA,4.575,0.047776881961241
"31",2014-07-01,"YAKUTAT AIRPORT",12.6,20.6,3.9,"YF",NA,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA,4.175,0.057370289361397
"32",2014-08-01,"YAKUTAT AIRPORT",12.58,17.8,4.4,"YF",NA,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA,3.35,0.0891067052795723
"33",2014-09-01,"YAKUTAT AIRPORT",10.64,18.3,-1,"YF",NA,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA,4.825,0.0429541732663964
"34",2014-10-01,"YAKUTAT AIRPORT",5.39,13.3,-4.3,"YF",NA,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA,4.4,0.0516528925619835
"35",2014-11-01,"YAKUTAT AIRPORT",1.12,7.8,-10.5,"YF",NA,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA,4.575,0.047776881961241
"36",2014-12-01,"YAKUTAT AIRPORT",0.99,7.8,-12.1,"YF",NA,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA,4.975,0.0404030201257544
"37",2015-01-01,"YAKUTAT AIRPORT",1.86,8.3,-11.6,"YF",NA,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA,4.975,0.0404030201257544
"38",2015-02-01,"YAKUTAT AIRPORT",0.85,8.3,-12.1,"YF",NA,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA,5.1,0.0384467512495194
"39",2015-03-01,"YAKUTAT AIRPORT",1.67,11.7,-15.5,"YF",NA,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA,6.8,0.0216262975778547
"40",2015-04-01,"YAKUTAT AIRPORT",3.9,13.9,-4.3,"YF",NA,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA,4.55,0.0483033450066417
"41",2015-05-01,"YAKUTAT AIRPORT",8.6,19.4,-2.1,"YF",NA,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA,5.375,0.0346133044889129
"42",2015-06-01,"YAKUTAT AIRPORT",12,27.8,4.4,"YF",NA,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA,5.85,0.0292205420410549
"43",2015-07-01,"YAKUTAT AIRPORT",13.35,23.9,5,"YF",NA,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA,4.725,0.0447915791831136
"44",2015-08-01,"YAKUTAT AIRPORT",12.8,20.6,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA,4.175,0.057370289361397
"45",2015-09-01,"YAKUTAT AIRPORT",8.73,17.2,-1,"YF",NA,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04,4.55,0.0483033450066417
"46",2015-10-01,"YAKUTAT AIRPORT",6.71,13.9,-2.1,"YF",NA,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68,4,0.0625
"47",2015-11-01,"YAKUTAT AIRPORT",1.48,8.3,-12.2,"YF",NA,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA,5.125,0.0380725758477097
