"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2030s",2.83697479456291,1.33739606657269
"02","2030s",2.95075452149955,1.92045109693131
"03","2030s",2.59270193093918,2.33560133356979
"04","2030s",1.88995500271632,3.26526320342696
"05","2030s",0.184446115034895,2.17789227824029
"06","2030s",-0.625660440467172,1.42632558999457
"07","2030s",-0.268133501030599,1.00519398330801
"08","2030s",0.612606758951318,0.84136225245743
"09","2030s",1.72600294793677,0.595948380692206
"10","2030s",2.80397515336477,0.727046454542519
"11","2030s",2.89473616841105,1.72931447102076
"12","2030s",3.41366194203876,2.24693682012717
