"","pond","low","med","high","time","pond_name"
"1","1",-6.65223802589566,-0.37907021396407,5.8995225500468,2012-01-01,"BVS"
"2","1",6.28,6.28,6.28,2012-10-01,"BVS"
"3","1",-4.65438289233681,-0.300523414127231,3.77402454037929,2012-04-01,"BVS"
"4","1",6.65181488277993,10.6305182412705,14.7829028940588,2087-04-01,"BVS"
"5","1",8.32109064139636,13.0707766011044,17.9459126762026,2087-05-01,"BVS"
"6","1",9.70093919635513,14.2763412302926,19.0415252718235,2087-06-01,"BVS"
"7","1",13.4898441923587,17.940845528947,22.5856479219137,2087-07-01,"BVS"
"8","1",13.9264712734127,17.9878083701705,22.3708442492309,2087-08-01,"BVS"
"9","1",12.6485829848864,16.6450118479653,20.8687406571951,2087-09-01,"BVS"
"10","1",15.6879058872282,20.1448254422197,24.9156670133007,2087-10-01,"BVS"
"11","1",11.6292035907035,16.3739939277959,21.5783195448366,2087-11-01,"BVS"
"12","1",8.10769737248538,12.9789659753528,18.0858576569519,2087-12-01,"BVS"
"13","1",7.48711907133267,12.7555440364499,18.2165051348601,2088-01-01,"BVS"
"14","1",-1.35723854654573,2.4182978903176,5.94577973050555,2012-05-01,"BVS"
"15","1",4.10952505648798,9.21182452839744,14.4933190435945,2088-02-01,"BVS"
"16","1",3.5916902086379,8.86655741914818,14.2705946253281,2088-03-01,"BVS"
"17","1",6.57714480867255,11.2322381918149,16.0818666299671,2088-04-01,"BVS"
"18","1",9.30207453415822,14.3247850123939,19.6260462967902,2088-05-01,"BVS"
"19","1",10.2045656210181,14.9399517593914,19.8536690958757,2088-06-01,"BVS"
"20","1",13.7533760576595,18.0519050201752,22.780078044708,2088-07-01,"BVS"
"21","1",13.777021697985,17.5263204542566,21.5499866592561,2088-08-01,"BVS"
"22","1",12.7765330742418,16.7522239457204,21.0149322716279,2088-09-01,"BVS"
"23","1",12.2592613572562,16.4311781798546,20.8715822504884,2088-10-01,"BVS"
"24","1",8.58066806400327,13.3065593715179,18.2131370518424,2088-11-01,"BVS"
"25","1",1.87610217620033,5.73907496462077,9.4192884851608,2012-06-01,"BVS"
"26","1",7.63790929563477,12.0029601347863,16.5324829122473,2088-12-01,"BVS"
"27","1",8.78633803168609,12.9457674964423,17.1813579219572,2089-01-01,"BVS"
"28","1",5.57200227383198,10.6150801780625,15.6695986829161,2089-02-01,"BVS"
"29","1",4.47835908641083,10.8699063982672,17.496948944594,2089-03-01,"BVS"
"30","1",7.57000981510949,12.688536058371,17.9092823480391,2089-04-01,"BVS"
"31","1",9.95726505983312,15.1132130929386,20.325377123865,2089-05-01,"BVS"
"32","1",10.7365008809247,15.6803759925089,20.7397274616847,2089-06-01,"BVS"
"33","1",14.908538374223,19.5320109433249,24.5277642212048,2089-07-01,"BVS"
"34","1",14.8120294331844,19.0419000555559,23.7592041364846,2089-08-01,"BVS"
"35","1",13.6149617285943,17.5620357645189,22.0660962647533,2089-09-01,"BVS"
"36","1",4.77662351073209,8.80144067600118,12.7451268575768,2012-07-01,"BVS"
"37","1",16.6578210696434,20.71843100964,25.3073881800322,2089-10-01,"BVS"
"38","1",12.2496502488032,16.4911415921778,21.1443438164552,2089-11-01,"BVS"
"39","1",9.21702698079226,13.7237375154083,18.6153119375744,2089-12-01,"BVS"
"40","1",4.02496041315493,9.91594633612975,15.873532545938,2090-01-01,"BVS"
"41","1",1.99916540271357,7.88221495614936,13.8459352687277,2090-02-01,"BVS"
"42","1",4.38443563313707,9.21580415657086,14.2828621852388,2090-03-01,"BVS"
"43","1",6.69564820797839,11.472621337219,16.4737682271658,2090-04-01,"BVS"
"44","1",9.80394790543428,13.9770622895031,18.3905207620536,2090-05-01,"BVS"
"45","1",10.4351534898919,15.129348080263,20.185191007636,2090-06-01,"BVS"
"46","1",13.2427554832915,18.0057727612243,22.9562972229739,2090-07-01,"BVS"
"47","1",6.7727424682013,10.4002220042275,14.05876585146,2012-08-01,"BVS"
"48","1",13.6444252007402,17.7210648347188,22.1511441893756,2090-08-01,"BVS"
"49","1",12.3493023135947,16.5709159780555,20.9750137792568,2090-09-01,"BVS"
"50","1",13.7633980495859,17.6177798735842,21.778039048711,2090-10-01,"BVS"
"51","1",8.217030577,12.5594385536968,17.100914899531,2090-11-01,"BVS"
"52","1",6.38580032872026,10.1279051375988,14.2223926772308,2090-12-01,"BVS"
"53","1",5.58311209224607,9.62641070634543,13.8722403294253,2091-01-01,"BVS"
"54","1",4.42908859849671,8.10022961188029,11.9413298685116,2091-02-01,"BVS"
"55","1",5.61824988661358,9.58149242030859,13.5442307710271,2091-03-01,"BVS"
"56","1",7.76985564925053,11.4446399883343,15.219936646208,2091-04-01,"BVS"
"57","1",9.65957241808457,13.2539890678379,17.0514183955819,2091-05-01,"BVS"
"58","1",6.81691714297233,10.1364380063825,13.4643463827209,2012-09-01,"BVS"
"59","1",10.5575571687823,14.428468700126,18.5008645502979,2091-06-01,"BVS"
"60","1",14.1943283562872,17.979497614553,21.8820301561322,2091-07-01,"BVS"
"61","1",13.9283809095537,18.0945019189849,22.5360530120623,2091-08-01,"BVS"
"62","1",13.2716883460813,17.0443781570504,21.0914076088161,2091-09-01,"BVS"
"63","1",13.0046123507094,16.8693701832725,20.9627429612718,2091-10-01,"BVS"
"64","1",10.0478532362934,13.9505538763533,17.9363362900454,2091-11-01,"BVS"
"65","1",9.2096620482155,12.7888120954442,16.5611515780543,2091-12-01,"BVS"
"66","1",6.2002675314127,10.513130576248,14.9364501071278,2092-01-01,"BVS"
"67","1",4.55648686677778,8.59215516354497,12.7002238678616,2092-02-01,"BVS"
"68","1",5.00593467008446,8.46347958036602,12.0419825637529,2092-03-01,"BVS"
"69","1",4.1361580926031,7.2816722631716,10.4977472892448,2012-10-01,"BVS"
"70","1",6.08544757543898,9.57410496317795,13.1424203049321,2092-04-01,"BVS"
"71","1",8.97330856983116,12.3602333465468,15.8690949376309,2092-05-01,"BVS"
"72","1",10.2044918638535,13.747927427605,17.4442883459071,2092-06-01,"BVS"
"73","1",12.7932092260201,16.279198096724,19.9982667664853,2092-07-01,"BVS"
"74","1",12.8363908171017,16.6865008270358,20.8421109417229,2092-08-01,"BVS"
