"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",6.73216010020045,1.47543697322861
"02","2090s",5.29058163001159,1.62407266813413
"03","2090s",5.41450011005925,1.19196476257658
"04","2090s",7.1223296491531,1.97979620000466
"05","2090s",5.0510937104143,1.58388973938648
"06","2090s",3.11396227994403,1.08743101609625
"07","2090s",2.76858273866041,0.666716763750632
"08","2090s",3.49080068384094,0.33939577605595
"09","2090s",4.34136525341567,0.333995498048598
"10","2090s",5.7187622892112,0.666684678703165
"11","2090s",6.87926613631201,1.49305966880501
"12","2090s",7.46793204628178,1.66916629484323
