STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/14/2001,0.6,0,0,51,-1.1,5,-7.8,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/15/2001,0.1,0,0,51,-2.2,2.2,-7.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/16/2001,0.8,0,0,51,-4.4,1.1,-10.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/17/2001,0.6,0,0,51,-3.3,4.4,-11.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/18/2001,0.5,0,0,51,-4.4,2.2,-11.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/19/2001,1.7,0,0,51,0.6,7.2,-6.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/20/2001,0.6,0,0,51,2.2,5,-0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/21/2001,0.8,0,0,51,0.6,5.6,-4.4,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/22/2001,0.5,0,0,51,-0.6,5.6,-7.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/23/2001,0.1,0,0,25,-2.8,2.2,-7.8,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/24/2001,0.6,1.3,25,25,-4.4,2.2,-11.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/25/2001,4.8,23.9,94,51,0.6,3.3,-2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/26/2001,5.1,15.7,0,76,3.3,5.6,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/27/2001,6.3,30,0,0,3.9,5.6,1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,2/28/2001,2.5,5.1,0,0,2.2,3.9,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/1/2001,1.1,0.3,0,0,0.6,5,-3.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/2/2001,0.4,0,0,25,-1.7,3.3,-6.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/3/2001,0.5,0,0,0,-1.1,4.4,-7.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/4/2001,4,0,0,0,-0.6,4.4,-6.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/5/2001,5.4,6.9,0,0,3.3,5,1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/6/2001,4.6,8.6,0,0,3.3,5.6,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/7/2001,3.5,6.9,0,0,,6.1,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/8/2001,5.1,5.3,0,0,3.3,5,1.1,0
