"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",2.07432951804907,0.641324047276872
"2",2,"2090s",2.62416645575409,0.870811693728092
"3",3,"2090s",2.93050865631518,0.669757522572649
"4",4,"2090s",3.03680439643065,0.748944818866786
"5",5,"2090s",2.93354283400329,0.865181555860215
"6",6,"2090s",2.77809632731644,0.956815913228745
"7",7,"2090s",2.35117892534425,1.00815127228225
"8",8,"2090s",1.89147218278348,0.934228451817857
"9",9,"2090s",1.54615698651999,0.71041348059355
"10",10,"2090s",1.41795164287831,0.547117888371782
"11",11,"2090s",1.52747568757934,0.615187470446719
"12",12,"2090s",1.83060822005553,0.598309327705266
