# Location: 59.5089 -139.6599,,,,,,
# View a report for this location at https://earthmaps.io/tas2km/point/59.5089/-139.6599,,,,,,
# tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario,,,,,,
# tasmin is the minimum temperature in degrees C,,,,,,
# tasmean is the mean temperature in degrees C,,,,,,
# tasmax is the maximum temperature in degrees C,,,,,,
model,scenario,month,year,tasmin,tasmean,tasmax
CRU-TS,historical,January,1901,-8.3,-4.6,-1
CRU-TS,historical,January,1902,-6.3,-2.5,1.3
CRU-TS,historical,January,1903,-9.8,-5.8,-1.8
CRU-TS,historical,January,1904,-9.2,-5.8,-2.5
CRU-TS,historical,January,1905,-6.5,-3,0.5
CRU-TS,historical,January,1906,-14,-10.1,-6.3
CRU-TS,historical,January,1907,-10.3,-5.7,-1.2
CRU-TS,historical,January,1908,-5.5,-2,1.4
CRU-TS,historical,January,1909,-14.9,-11.7,-8.5
CRU-TS,historical,January,1910,-7.1,-4,-0.9
CRU-TS,historical,January,1911,-12.3,-8.9,-5.5
CRU-TS,historical,January,1912,-5.3,-2.1,1
CRU-TS,historical,January,1913,-11,-7.9,-4.8
CRU-TS,historical,January,1914,-8.2,-4.3,-0.5
CRU-TS,historical,January,1915,-1.9,1.3,4.5
CRU-TS,historical,January,1916,-10.8,-7.2,-3.7
CRU-TS,historical,January,1917,-9.3,-5.1,-1
CRU-TS,historical,January,1918,-6.8,-2.9,1
CRU-TS,historical,January,1919,-7.7,-4.1,-0.5
CRU-TS,historical,January,1920,-11.8,-7.4,-3.1
CRU-TS,historical,January,1921,-11,-6.8,-2.7
CRU-TS,historical,January,1922,-5.5,-1.9,1.6
CRU-TS,historical,January,1923,-9.5,-5.5,-1.5
CRU-TS,historical,January,1924,-4.9,-1.6,1.6
CRU-TS,historical,January,1925,-13.5,-9.6,-5.7
CRU-TS,historical,January,1926,2.7,5.9,9.1
CRU-TS,historical,January,1927,-7.5,-3.4,0.6
CRU-TS,historical,January,1928,-4.3,-0.5,3.3
CRU-TS,historical,January,1929,-3.6,-0.1,3.3
CRU-TS,historical,January,1930,-11.5,-6.9,-2.4
CRU-TS,historical,January,1931,-1.2,2.5,6.2
CRU-TS,historical,January,1932,-10.6,-5.9,-1.2
CRU-TS,historical,January,1933,-12.4,-8.2,-4.1
CRU-TS,historical,January,1934,-10.4,-7,-3.7
CRU-TS,historical,January,1935,-9.2,-5.5,-1.8
CRU-TS,historical,January,1936,-5.9,-2.6,0.7
CRU-TS,historical,January,1937,-4,-0.2,3.6
CRU-TS,historical,January,1938,-7.3,-3.6,0
CRU-TS,historical,January,1939,-4.9,-1.7,1.5
CRU-TS,historical,January,1940,-2.6,1,4.6
CRU-TS,historical,January,1941,-5.9,-2.3,1.3
CRU-TS,historical,January,1942,-1.9,1.7,5.3
CRU-TS,historical,January,1943,-9.6,-5.6,-1.7
CRU-TS,historical,January,1944,-1.4,1.7,4.8
CRU-TS,historical,January,1945,-1,2.1,5.2
CRU-TS,historical,January,1946,-4.7,-0.2,4.3
CRU-TS,historical,January,1947,-11.8,-6.9,-2.1
CRU-TS,historical,January,1948,-2.9,1.3,5.5
CRU-TS,historical,January,1949,-6.5,-1.7,3
CRU-TS,historical,January,1950,-13.3,-7.7,-2.2
CRU-TS,historical,January,1951,-10.5,-6.7,-3
CRU-TS,historical,January,1952,-13.9,-9.2,-4.5
CRU-TS,historical,January,1953,-11.4,-7.8,-4.2
CRU-TS,historical,January,1954,-9.4,-4.7,0
CRU-TS,historical,January,1955,-2.2,1.2,4.6
CRU-TS,historical,January,1956,-10.6,-6.1,-1.6
CRU-TS,historical,January,1957,-8.5,-4.2,0
CRU-TS,historical,January,1958,-3.1,0.7,4.4
CRU-TS,historical,January,1959,-12.6,-8.5,-4.5
CRU-TS,historical,January,1960,-6.3,-2.1,2
CRU-TS,historical,January,1961,-4.6,-0.6,3.3
CRU-TS,historical,January,1962,-7.3,-2.5,2.3
CRU-TS,historical,January,1963,-3.4,0.3,4
CRU-TS,historical,January,1964,-6.8,-2.8,1.2
CRU-TS,historical,January,1965,-9.7,-5.6,-1.6
CRU-TS,historical,January,1966,-17.1,-12.6,-8.1
CRU-TS,historical,January,1967,-10.6,-6.1,-1.7
CRU-TS,historical,January,1968,-9.3,-5.3,-1.3
CRU-TS,historical,January,1969,-18.3,-14.1,-10
CRU-TS,historical,January,1970,-8.3,-5.1,-1.9
CRU-TS,historical,January,1971,-15.3,-11.2,-7.1
CRU-TS,historical,January,1972,-15.1,-10.5,-6
CRU-TS,historical,January,1973,-12.1,-8.1,-4.1
CRU-TS,historical,January,1974,-13.6,-9.9,-6.2
CRU-TS,historical,January,1975,-8.7,-5.1,-1.5
CRU-TS,historical,January,1976,-5.6,-2.1,1.3
CRU-TS,historical,January,1977,1.3,4.6,7.9
CRU-TS,historical,January,1978,-7,-3.4,0.1
CRU-TS,historical,January,1979,-9,-4.9,-0.9
CRU-TS,historical,January,1980,-7.8,-4.3,-0.9
CRU-TS,historical,January,1981,5,7.6,10.2
CRU-TS,historical,January,1982,-14.8,-11.3,-7.9
CRU-TS,historical,January,1983,-6.4,-3.4,-0.4
CRU-TS,historical,January,1984,-3,0.4,3.7
CRU-TS,historical,January,1985,3.4,6.2,9
CRU-TS,historical,January,1986,0.1,2.9,5.7
CRU-TS,historical,January,1987,-0.7,2.6,5.9
CRU-TS,historical,January,1988,-6.5,-3.1,0.2
CRU-TS,historical,January,1989,-10.5,-6.5,-2.6
CRU-TS,historical,January,1990,-7,-3.2,0.6
CRU-TS,historical,January,1991,-7.6,-3.7,0.2
CRU-TS,historical,January,1992,-0.1,3,6.1
CRU-TS,historical,January,1993,-8.4,-3.6,1.1
CRU-TS,historical,January,1994,-4.1,-1.2,1.6
CRU-TS,historical,January,1995,-5.8,-2.3,1.2
CRU-TS,historical,January,1996,-14.2,-10.2,-6.3
CRU-TS,historical,January,1997,-8.1,-4.4,-0.7
CRU-TS,historical,January,1998,-6.8,-3.7,-0.7
CRU-TS,historical,January,1999,-8.8,-5,-1.2
CRU-TS,historical,January,2000,-5.7,-2.6,0.4
CRU-TS,historical,January,2001,1.6,5,8.4
CRU-TS,historical,January,2002,-2.1,0.9,3.9
CRU-TS,historical,January,2003,-2.6,0.8,4.2
CRU-TS,historical,January,2004,-9.5,-6,-2.5
CRU-TS,historical,January,2005,-5.7,-2.6,0.5
CRU-TS,historical,January,2006,-5,-2.3,0.4
CRU-TS,historical,January,2007,-4.5,-0.2,4.1
CRU-TS,historical,January,2008,-7.5,-3.5,0.4
CRU-TS,historical,January,2009,-6.6,-3.3,0
CRU-TS,historical,January,2010,-2.6,0,2.6
CRU-TS,historical,January,2011,-4.7,-0.9,2.8
CRU-TS,historical,January,2012,-9.7,-5.8,-1.9
CRU-TS,historical,January,2013,-2.4,0.8,4
CRU-TS,historical,January,2014,2,5.4,8.8
CRU-TS,historical,January,2015,-1.4,1.3,3.9
CRU-TS,historical,February,1901,-9.3,-5,-0.7
CRU-TS,historical,February,1902,-3.1,0.6,4.3
CRU-TS,historical,February,1903,-6.2,-2.3,1.5
CRU-TS,historical,February,1904,-13,-8.7,-4.4
CRU-TS,historical,February,1905,-3,0.7,4.4
CRU-TS,historical,February,1906,-4.9,-0.8,3.3
CRU-TS,historical,February,1907,-12.3,-7.7,-3.2
CRU-TS,historical,February,1908,-5.5,-1.6,2.2
CRU-TS,historical,February,1909,-10.2,-6.2,-2.2
CRU-TS,historical,February,1910,-10.2,-6.2,-2.3
CRU-TS,historical,February,1911,-5.5,-1.5,2.5
CRU-TS,historical,February,1912,-1.4,2.2,5.8
CRU-TS,historical,February,1913,-4.7,-0.6,3.5
CRU-TS,historical,February,1914,-2.8,0.5,3.8
CRU-TS,historical,February,1915,-6.4,-2.1,2.1
CRU-TS,historical,February,1916,-7.3,-3.3,0.6
CRU-TS,historical,February,1917,-7.1,-2.4,2.3
CRU-TS,historical,February,1918,-8.7,-4,0.6
CRU-TS,historical,February,1919,-6.6,-1.9,2.7
CRU-TS,historical,February,1920,-2.5,1.9,6.3
CRU-TS,historical,February,1921,-8.5,-3.9,0.7
CRU-TS,historical,February,1922,-9.7,-4.6,0.5
CRU-TS,historical,February,1923,-4.5,-0.2,4.1
CRU-TS,historical,February,1924,-5.9,-1.7,2.4
CRU-TS,historical,February,1925,-11.4,-6.3,-1.3
CRU-TS,historical,February,1926,-5,-0.7,3.6
CRU-TS,historical,February,1927,-4.5,-0.1,4.3
CRU-TS,historical,February,1928,-3.8,0.3,4.4
CRU-TS,historical,February,1929,-3.3,0.3,3.9
CRU-TS,historical,February,1930,-10.6,-5.8,-1
CRU-TS,historical,February,1931,-1.9,2.2,6.3
CRU-TS,historical,February,1932,-13.4,-8.2,-3
CRU-TS,historical,February,1933,-9.1,-3.9,1.2
CRU-TS,historical,February,1934,-0.8,3.1,7
CRU-TS,historical,February,1935,-1.2,2.5,6.2
CRU-TS,historical,February,1936,-13.1,-8.4,-3.8
CRU-TS,historical,February,1937,-8.9,-4.8,-0.8
CRU-TS,historical,February,1938,-8.9,-5.1,-1.4
CRU-TS,historical,February,1939,-7.4,-3.5,0.3
CRU-TS,historical,February,1940,-4.2,0.3,4.8
CRU-TS,historical,February,1941,-2.8,1.3,5.4
CRU-TS,historical,February,1942,-1.7,2.6,6.9
CRU-TS,historical,February,1943,-5.8,-0.8,4.2
CRU-TS,historical,February,1944,-3.6,0.9,5.4
CRU-TS,historical,February,1945,-3.2,0.8,4.8
CRU-TS,historical,February,1946,-3.3,0.2,3.7
CRU-TS,historical,February,1947,-8.4,-3.3,1.8
CRU-TS,historical,February,1948,-11.3,-5.7,-0.2
CRU-TS,historical,February,1949,-13.6,-8.6,-3.6
CRU-TS,historical,February,1950,-10.9,-6.8,-2.7
CRU-TS,historical,February,1951,-10.6,-5.4,-0.2
CRU-TS,historical,February,1952,-6.1,-1.6,2.9
CRU-TS,historical,February,1953,-2.3,1.8,5.9
CRU-TS,historical,February,1954,-10.9,-5.5,-0.2
CRU-TS,historical,February,1955,-6.3,-1.8,2.7
CRU-TS,historical,February,1956,-9.7,-5.3,-1
CRU-TS,historical,February,1957,-8.1,-2.8,2.5
CRU-TS,historical,February,1958,-6.8,-2.3,2.1
CRU-TS,historical,February,1959,-6,-1.1,3.8
CRU-TS,historical,February,1960,-3.9,0.5,4.9
CRU-TS,historical,February,1961,-5.1,-1.4,2.3
CRU-TS,historical,February,1962,-7.4,-2.4,2.5
CRU-TS,historical,February,1963,-2.6,1.4,5.4
CRU-TS,historical,February,1964,-1.2,2.1,5.3
CRU-TS,historical,February,1965,-11.1,-6.4,-1.7
CRU-TS,historical,February,1966,-7.7,-2.9,1.8
CRU-TS,historical,February,1967,-8.4,-3.3,1.7
CRU-TS,historical,February,1968,-4.4,-0.2,4
CRU-TS,historical,February,1969,-10.7,-5.3,0.1
CRU-TS,historical,February,1970,-1.2,3.3,7.8
CRU-TS,historical,February,1971,-5.1,-1,3.1
CRU-TS,historical,February,1972,-13.5,-8.3,-3.2
CRU-TS,historical,February,1973,-10.4,-4.6,1.1
CRU-TS,historical,February,1974,-7.7,-3.7,0.3
CRU-TS,historical,February,1975,-9.4,-4.9,-0.4
CRU-TS,historical,February,1976,-9.7,-5.4,-1.2
CRU-TS,historical,February,1977,1.7,5.5,9.3
CRU-TS,historical,February,1978,-4,0.6,5.2
CRU-TS,historical,February,1979,-17.6,-12.3,-7.1
CRU-TS,historical,February,1980,-0.5,2.9,6.3
CRU-TS,historical,February,1981,-2.1,1.4,4.9
CRU-TS,historical,February,1982,-8.6,-5.2,-1.8
CRU-TS,historical,February,1983,-4.4,-0.5,3.4
CRU-TS,historical,February,1984,-2.5,0.8,4.1
CRU-TS,historical,February,1985,-8.9,-4.8,-0.8
CRU-TS,historical,February,1986,-6.2,-1.3,3.5
CRU-TS,historical,February,1987,-1.1,2.1,5.3
CRU-TS,historical,February,1988,-3.6,0.1,3.8
CRU-TS,historical,February,1989,-11.3,-5.1,1.1
CRU-TS,historical,February,1990,-11.7,-7.2,-2.7
CRU-TS,historical,February,1991,-3.2,1.1,5.4
CRU-TS,historical,February,1992,-5,-1.3,2.4
CRU-TS,historical,February,1993,-5.5,-0.5,4.5
CRU-TS,historical,February,1994,-11.7,-7,-2.3
CRU-TS,historical,February,1995,-5.7,-0.9,3.9
CRU-TS,historical,February,1996,-4,-0.2,3.6
CRU-TS,historical,February,1997,0.8,4,7.2
CRU-TS,historical,February,1998,-1.7,2.1,5.9
CRU-TS,historical,February,1999,-10.5,-5.6,-0.7
CRU-TS,historical,February,2000,-1.4,2.6,6.6
CRU-TS,historical,February,2001,-5.5,-0.8,3.9
CRU-TS,historical,February,2002,-5.1,-1,3.1
CRU-TS,historical,February,2003,-1.2,2.2,5.5
CRU-TS,historical,February,2004,-0.9,3.1,7.1
CRU-TS,historical,February,2005,-4.2,-0.3,3.6
CRU-TS,historical,February,2006,-5,-0.4,4.2
CRU-TS,historical,February,2007,-7.8,-4.6,-1.4
CRU-TS,historical,February,2008,-6.5,-2.8,0.8
CRU-TS,historical,February,2009,-8.4,-3.8,0.7
CRU-TS,historical,February,2010,-0.9,3,6.9
CRU-TS,historical,February,2011,-6.9,-2.9,1.1
CRU-TS,historical,February,2012,-1.4,2.5,6.3
CRU-TS,historical,February,2013,-1.4,2.2,5.8
CRU-TS,historical,February,2014,-10,-4.8,0.4
CRU-TS,historical,February,2015,-3.4,0.4,4.2
CRU-TS,historical,March,1901,-3.9,0.3,4.5
CRU-TS,historical,March,1902,-9,-4.5,0
CRU-TS,historical,March,1903,-7,-1.9,3.2
CRU-TS,historical,March,1904,-9.1,-4.2,0.7
CRU-TS,historical,March,1905,-1,3,7
CRU-TS,historical,March,1906,-4.4,1,6.5
CRU-TS,historical,March,1907,-10,-4.4,1.2
CRU-TS,historical,March,1908,-6.5,-2,2.5
CRU-TS,historical,March,1909,-4.3,-0.2,3.8
CRU-TS,historical,March,1910,-5.1,-0.8,3.4
CRU-TS,historical,March,1911,-6.7,-2.1,2.5
CRU-TS,historical,March,1912,-3.6,1.2,6
CRU-TS,historical,March,1913,-6.2,-1.2,3.8
CRU-TS,historical,March,1914,-4.3,0.1,4.5
CRU-TS,historical,March,1915,-0.8,3.6,8
CRU-TS,historical,March,1916,-8.3,-3.6,1
CRU-TS,historical,March,1917,-4.7,0.2,5.1
CRU-TS,historical,March,1918,-10.7,-4.7,1.2
CRU-TS,historical,March,1919,-9.1,-3.4,2.3
CRU-TS,historical,March,1920,-9.5,-3.5,2.5
CRU-TS,historical,March,1921,-6.9,-1.2,4.5
CRU-TS,historical,March,1922,-9.2,-3.7,1.8
CRU-TS,historical,March,1923,-7.3,-1.6,4.1
CRU-TS,historical,March,1924,-2,2.5,7
CRU-TS,historical,March,1925,-6.9,-1.6,3.7
CRU-TS,historical,March,1926,0.4,4.6,8.8
CRU-TS,historical,March,1927,-5.6,-0.7,4.2
CRU-TS,historical,March,1928,-8.4,-3.2,2
CRU-TS,historical,March,1929,-6.8,-2.6,1.5
CRU-TS,historical,March,1930,-7.2,-2,3.2
CRU-TS,historical,March,1931,-7,-1.4,4.2
CRU-TS,historical,March,1932,-5.2,-0.2,4.8
CRU-TS,historical,March,1933,-8,-2,4
CRU-TS,historical,March,1934,-6.3,-0.9,4.5
CRU-TS,historical,March,1935,-8.4,-3.5,1.3
CRU-TS,historical,March,1936,-7,-2.1,2.7
CRU-TS,historical,March,1937,-4.3,0.2,4.7
CRU-TS,historical,March,1938,-4.9,-0.2,4.6
CRU-TS,historical,March,1939,-7.6,-2.9,1.7
CRU-TS,historical,March,1940,-4.7,0.5,5.7
CRU-TS,historical,March,1941,-1.1,3.1,7.3
CRU-TS,historical,March,1942,-5.2,-0.2,4.8
CRU-TS,historical,March,1943,-6.9,-1.6,3.7
CRU-TS,historical,March,1944,-4.8,-0.5,3.8
CRU-TS,historical,March,1945,-3.3,0.8,4.9
CRU-TS,historical,March,1946,-6.2,-1.2,3.8
CRU-TS,historical,March,1947,-1,3.2,7.4
CRU-TS,historical,March,1948,-9.4,-3.7,2
CRU-TS,historical,March,1949,-3.6,1.7,7
CRU-TS,historical,March,1950,-6.2,-0.3,5.6
CRU-TS,historical,March,1951,-10.5,-4.9,0.7
CRU-TS,historical,March,1952,-5.9,-1.2,3.5
CRU-TS,historical,March,1953,-7.6,-1.8,4
CRU-TS,historical,March,1954,-6.8,-0.8,5.2
CRU-TS,historical,March,1955,-7.5,-2.1,3.3
CRU-TS,historical,March,1956,-8.5,-3.1,2.3
CRU-TS,historical,March,1957,-5.1,0.8,6.7
CRU-TS,historical,March,1958,-6,0.2,6.4
CRU-TS,historical,March,1959,-7.8,-3.1,1.5
CRU-TS,historical,March,1960,-6.6,-2.2,2.2
CRU-TS,historical,March,1961,-6.9,-2,2.8
CRU-TS,historical,March,1962,-8.6,-3.1,2.4
CRU-TS,historical,March,1963,-6.2,-1.5,3.2
CRU-TS,historical,March,1964,-9.8,-4.8,0.1
CRU-TS,historical,March,1965,-0.8,3.2,7.2
CRU-TS,historical,March,1966,-8.8,-3.7,1.4
CRU-TS,historical,March,1967,-10.5,-4.4,1.7
CRU-TS,historical,March,1968,-2.7,1.4,5.5
CRU-TS,historical,March,1969,-4.9,-0.1,4.7
CRU-TS,historical,March,1970,-1.5,3.1,7.7
CRU-TS,historical,March,1971,-9.8,-4.5,0.8
CRU-TS,historical,March,1972,-10.5,-5,0.5
CRU-TS,historical,March,1973,-5.3,0.1,5.5
CRU-TS,historical,March,1974,-9.7,-3.8,2.1
CRU-TS,historical,March,1975,-8.7,-2.4,3.9
CRU-TS,historical,March,1976,-6.4,-1,4.4
CRU-TS,historical,March,1977,-4.1,0.2,4.5
CRU-TS,historical,March,1978,-3.7,0.7,5.1
CRU-TS,historical,March,1979,-1.1,2.2,5.5
CRU-TS,historical,March,1980,-2.9,0.9,4.7
CRU-TS,historical,March,1981,0.3,4.4,8.5
CRU-TS,historical,March,1982,-6.5,-1.6,3.3
CRU-TS,historical,March,1983,-5.9,-0.1,5.7
CRU-TS,historical,March,1984,1,4.9,8.8
CRU-TS,historical,March,1985,-4.2,0.4,5
CRU-TS,historical,March,1986,-5.7,-0.6,4.5
CRU-TS,historical,March,1987,-7.9,-1.8,4.3
CRU-TS,historical,March,1988,-1.1,2.7,6.5
CRU-TS,historical,March,1989,-9.7,-3.6,2.5
CRU-TS,historical,March,1990,-2.8,2,6.8
CRU-TS,historical,March,1991,-5.6,-0.3,5
CRU-TS,historical,March,1992,-2,2,6
CRU-TS,historical,March,1993,-4.7,1,6.7
CRU-TS,historical,March,1994,-2,2.1,6.2
CRU-TS,historical,March,1995,-8.5,-2.9,2.7
CRU-TS,historical,March,1996,-6.1,-0.5,5.1
CRU-TS,historical,March,1997,-7.7,-2.7,2.3
CRU-TS,historical,March,1998,-4.6,0.9,6.4
CRU-TS,historical,March,1999,-5,-0.2,4.6
CRU-TS,historical,March,2000,-1.8,2.4,6.6
CRU-TS,historical,March,2001,-3.5,0.7,4.9
CRU-TS,historical,March,2002,-9.7,-3.5,2.7
CRU-TS,historical,March,2003,-6.1,-0.8,4.5
CRU-TS,historical,March,2004,-4.3,-0.1,4.1
CRU-TS,historical,March,2005,0.2,3.8,7.4
CRU-TS,historical,March,2006,-7.3,-2.6,2.1
CRU-TS,historical,March,2007,-9.6,-5.3,-1
CRU-TS,historical,March,2008,-3.4,1.1,5.6
CRU-TS,historical,March,2009,-7.3,-2.8,1.7
CRU-TS,historical,March,2010,-1.7,1.9,5.5
CRU-TS,historical,March,2011,-9.2,-2.9,3.4
CRU-TS,historical,March,2012,-6.7,-1.6,3.5
CRU-TS,historical,March,2013,-7.5,-1.9,3.7
CRU-TS,historical,March,2014,-7.2,-1,5.2
CRU-TS,historical,March,2015,-2.3,1.9,6.1
CRU-TS,historical,April,1901,-2.9,1.7,6.3
CRU-TS,historical,April,1902,-2.9,1.2,5.3
CRU-TS,historical,April,1903,-3.8,0.4,4.6
CRU-TS,historical,April,1904,-0.4,3.5,7.4
CRU-TS,historical,April,1905,-0.4,4,8.4
CRU-TS,historical,April,1906,-1.6,2.4,6.5
CRU-TS,historical,April,1907,-2.7,2.4,7.5
CRU-TS,historical,April,1908,-2.9,1.5,5.9
CRU-TS,historical,April,1909,-5.1,0,5.1
CRU-TS,historical,April,1910,-3.3,1.6,6.5
CRU-TS,historical,April,1911,-5.3,-0.6,4.1
CRU-TS,historical,April,1912,-2.5,3,8.5
CRU-TS,historical,April,1913,-3.2,1.9,7
CRU-TS,historical,April,1914,-1.8,3.3,8.4
CRU-TS,historical,April,1915,0.7,5.2,9.8
CRU-TS,historical,April,1916,-1.1,3.7,8.5
CRU-TS,historical,April,1917,-3.6,2.5,8.6
CRU-TS,historical,April,1918,-3.3,1.2,5.7
CRU-TS,historical,April,1919,-1.4,3.1,7.6
CRU-TS,historical,April,1920,-6.5,-0.7,5.1
CRU-TS,historical,April,1921,-3,2,7
CRU-TS,historical,April,1922,-3,1.8,6.6
CRU-TS,historical,April,1923,-2.1,3.1,8.3
CRU-TS,historical,April,1924,-5.4,-0.7,4
CRU-TS,historical,April,1925,-3.6,1.6,6.8
CRU-TS,historical,April,1926,0,4.5,9
CRU-TS,historical,April,1927,-6.5,-1.5,3.5
CRU-TS,historical,April,1928,-4,1.1,6.2
CRU-TS,historical,April,1929,-4.4,0.7,5.8
CRU-TS,historical,April,1930,-3.3,2,7.3
CRU-TS,historical,April,1931,-2.6,2.5,7.6
CRU-TS,historical,April,1932,-1.3,3.9,9.1
CRU-TS,historical,April,1933,-3,1.9,6.8
CRU-TS,historical,April,1934,-1.4,3.2,7.8
CRU-TS,historical,April,1935,-2.8,2.4,7.6
CRU-TS,historical,April,1936,-3.4,1.9,7.2
CRU-TS,historical,April,1937,-1.9,2.5,6.9
CRU-TS,historical,April,1938,-0.8,3.8,8.4
CRU-TS,historical,April,1939,-2.7,1.9,6.5
CRU-TS,historical,April,1940,0.8,6,11.3
CRU-TS,historical,April,1941,1.2,5.6,10.1
CRU-TS,historical,April,1942,-1.2,3.7,8.6
CRU-TS,historical,April,1943,-1.8,3.2,8.2
CRU-TS,historical,April,1944,-2.8,2,6.8
CRU-TS,historical,April,1945,-4.3,0.4,5.1
CRU-TS,historical,April,1946,-2.1,2.1,6.3
CRU-TS,historical,April,1947,-1.3,2.7,6.7
CRU-TS,historical,April,1948,-6.4,-1.1,4.2
CRU-TS,historical,April,1949,-1.4,2.6,6.6
CRU-TS,historical,April,1950,-4.5,0.6,5.7
CRU-TS,historical,April,1951,-0.5,3.4,7.3
CRU-TS,historical,April,1952,-2.8,1.4,5.6
CRU-TS,historical,April,1953,-0.4,4.1,8.7
CRU-TS,historical,April,1954,-6.9,-1.4,4.1
CRU-TS,historical,April,1955,-4.1,0.8,5.7
CRU-TS,historical,April,1956,-2.4,2.5,7.4
CRU-TS,historical,April,1957,-2.6,2.2,7
CRU-TS,historical,April,1958,-0.9,4.9,10.7
CRU-TS,historical,April,1959,-2.5,1.9,6.3
CRU-TS,historical,April,1960,-2.8,3,8.8
CRU-TS,historical,April,1961,-2.2,2.1,6.4
CRU-TS,historical,April,1962,-1.7,2.7,7.1
CRU-TS,historical,April,1963,-4.2,1,6.2
CRU-TS,historical,April,1964,-2.6,1.5,5.6
CRU-TS,historical,April,1965,-2.3,2.4,7.1
CRU-TS,historical,April,1966,-3.5,1.6,6.7
CRU-TS,historical,April,1967,-5,0.9,6.8
CRU-TS,historical,April,1968,-3.1,1.2,5.5
CRU-TS,historical,April,1969,-0.6,3.6,7.8
CRU-TS,historical,April,1970,-1.8,2.4,6.6
CRU-TS,historical,April,1971,-2.9,1.1,5.1
CRU-TS,historical,April,1972,-7.8,-2.5,2.8
CRU-TS,historical,April,1973,-0.6,3.4,7.4
CRU-TS,historical,April,1974,-2.2,2.7,7.6
CRU-TS,historical,April,1975,-2.2,1.7,5.6
CRU-TS,historical,April,1976,-1.5,3.2,7.9
CRU-TS,historical,April,1977,-0.5,3.6,7.7
CRU-TS,historical,April,1978,-1.5,3.6,8.7
CRU-TS,historical,April,1979,-2.4,3.2,8.8
CRU-TS,historical,April,1980,1.4,5.2,9.1
CRU-TS,historical,April,1981,-3.1,1.6,6.3
CRU-TS,historical,April,1982,-3.9,0.5,4.9
CRU-TS,historical,April,1983,-0.7,4.4,9.5
CRU-TS,historical,April,1984,-0.5,4.3,9.1
CRU-TS,historical,April,1985,-3.7,0.5,4.7
CRU-TS,historical,April,1986,-6.3,-1.1,4.1
CRU-TS,historical,April,1987,-0.8,3.6,8
CRU-TS,historical,April,1988,-0.4,3.8,8.1
CRU-TS,historical,April,1989,-1.3,4.6,10.5
CRU-TS,historical,April,1990,-0.8,4.8,10.4
CRU-TS,historical,April,1991,-0.4,4.1,8.6
CRU-TS,historical,April,1992,-2.1,2.5,7.1
CRU-TS,historical,April,1993,0.1,5.5,11
CRU-TS,historical,April,1994,0.5,5.4,10.3
CRU-TS,historical,April,1995,0.2,5.5,10.9
CRU-TS,historical,April,1996,-2.8,3.2,9.2
CRU-TS,historical,April,1997,-3.3,2.3,7.9
CRU-TS,historical,April,1998,0.9,5.1,9.3
CRU-TS,historical,April,1999,-1.5,2.9,7.3
CRU-TS,historical,April,2000,-1.3,3,7.3
CRU-TS,historical,April,2001,-1.9,2.7,7.3
CRU-TS,historical,April,2002,-6.8,-0.8,5.2
CRU-TS,historical,April,2003,-2.5,3.6,9.7
CRU-TS,historical,April,2004,-0.2,4.3,8.9
CRU-TS,historical,April,2005,-0.1,5.1,10.3
CRU-TS,historical,April,2006,-1.6,2.8,7.2
CRU-TS,historical,April,2007,-1.8,3.4,8.6
CRU-TS,historical,April,2008,-2.2,2.4,7
CRU-TS,historical,April,2009,-3,2.4,7.8
CRU-TS,historical,April,2010,-0.8,4.3,9.4
CRU-TS,historical,April,2011,-1.1,3.3,7.7
CRU-TS,historical,April,2012,-1.1,4.3,9.7
CRU-TS,historical,April,2013,-5.7,-1.2,3.3
CRU-TS,historical,April,2014,-2.3,3.2,8.7
CRU-TS,historical,April,2015,0.2,4.5,8.9
CRU-TS,historical,May,1901,0.8,5.2,9.7
CRU-TS,historical,May,1902,1.6,6.1,10.6
CRU-TS,historical,May,1903,1.1,5,8.9
CRU-TS,historical,May,1904,2.2,5.8,9.4
CRU-TS,historical,May,1905,3.6,7.8,12.1
CRU-TS,historical,May,1906,2.5,7,11.5
CRU-TS,historical,May,1907,2.5,7.8,13.1
CRU-TS,historical,May,1908,1.2,5.9,10.7
CRU-TS,historical,May,1909,1,6,11
CRU-TS,historical,May,1910,1.9,6.7,11.6
CRU-TS,historical,May,1911,0.8,5.3,9.8
CRU-TS,historical,May,1912,3.4,8.4,13.5
CRU-TS,historical,May,1913,1.4,6.2,11.1
CRU-TS,historical,May,1914,2.6,7.5,12.4
CRU-TS,historical,May,1915,2.8,8.9,15.1
CRU-TS,historical,May,1916,0.7,5.8,10.9
CRU-TS,historical,May,1917,0.7,5.9,11.2
CRU-TS,historical,May,1918,-0.2,5.1,10.5
CRU-TS,historical,May,1919,0.6,5.8,11.1
CRU-TS,historical,May,1920,-1.4,4.1,9.6
CRU-TS,historical,May,1921,0.6,5.5,10.4
CRU-TS,historical,May,1922,-0.5,5.2,10.9
CRU-TS,historical,May,1923,1,6.6,12.3
CRU-TS,historical,May,1924,1.7,6.7,11.7
CRU-TS,historical,May,1925,1.5,6.6,11.8
CRU-TS,historical,May,1926,2.3,7.3,12.4
CRU-TS,historical,May,1927,1.1,5.9,10.8
CRU-TS,historical,May,1928,1.3,6,10.7
CRU-TS,historical,May,1929,0.4,5.6,10.8
CRU-TS,historical,May,1930,0.8,6.1,11.5
CRU-TS,historical,May,1931,0.9,5.2,9.5
CRU-TS,historical,May,1932,1.1,6,11
