"","date_time","avgTemp","stdTemp"
"1",2006-01-01,-9.991015625,2.42980218843567
"2",2006-02-01,-6.9078125,3.09908457950349
"3",2006-03-01,-7.33544921875,2.31972217863989
"4",2006-04-01,-3.87998046875,1.99672326970947
"5",2006-05-01,-0.00986328125000007,0.794548471423167
"6",2006-06-01,3.48134765625,1.6588885612655
"7",2006-07-01,5.54755859375,2.38978995572007
"8",2006-08-01,5.634765625,2.11268237127436
"9",2006-09-01,3.93486328125,1.72943021611927
"10",2006-10-01,-0.51171875,1.50873979462666
"11",2006-11-01,-5.8455078125,3.50881335190533
"12",2006-12-01,-8.6822265625,2.01405851621705
"13",2007-01-01,-8.5552734375,3.59448762999083
"14",2007-02-01,-11.019921875,3.57700170573058
"15",2007-03-01,-9.09833984375,1.03483682690448
"16",2007-04-01,-4.08798828125,1.29830950919587
"17",2007-05-01,-0.56962890625,1.41455564476485
"18",2007-06-01,2.610546875,2.41822513884253
"19",2007-07-01,4.58515625,2.37278027230406
"20",2007-08-01,5.429296875,2.2183378168066
"21",2007-09-01,3.37265625,1.88597260036637
"22",2007-10-01,-2.55830078125,3.09003425029111
"23",2007-11-01,-5.891796875,1.89387846267251
"24",2007-12-01,-9.14033203125,2.35601891537715
"25",2008-01-01,-9.132421875,3.4952198325314
"26",2008-02-01,-8.6044921875,3.67245872673454
"27",2008-03-01,-8.8244140625,2.29694345246814
"28",2008-04-01,-6.15517578125,3.6118029789124
"29",2008-05-01,-0.6416015625,1.86530987385378
"30",2008-06-01,2.298828125,2.09287978983116
"31",2008-07-01,4.94560546875,2.5414332736059
"32",2008-08-01,5.0203125,1.95434997392927
"33",2008-09-01,2.758203125,1.71987361670348
"34",2008-10-01,-1.07158203125,2.01733867335868
"35",2008-11-01,-4.74912109375,1.31962311232137
"36",2008-12-01,-7.53310546875,2.01572827083653
"37",2009-01-01,-12.5634765625,4.05535202444647
"38",2009-02-01,-7.7154296875,2.4160344930296
"39",2009-03-01,-8.3619140625,1.60425307796638
"40",2009-04-01,-3.45869140625,1.27760031246366
"41",2009-05-01,-0.45341796875,1.0769358835926
"42",2009-06-01,3.08642578125,1.31722569327932
"43",2009-07-01,4.77099609375,1.46218365601643
"44",2009-08-01,4.6791015625,1.58527758168288
"45",2009-09-01,3.32734375,1.30686619941371
"46",2009-10-01,-1.1138671875,1.03642052560728
"47",2009-11-01,-5.3517578125,2.16642754042134
"48",2009-12-01,-8.1697265625,2.73789033395553
"49",2010-01-01,-7.80244140625,3.12905515733686
"50",2010-02-01,-7.00810546875,3.45318137190477
"51",2010-03-01,-7.35126953125,2.42348190322687
"52",2010-04-01,-3.672265625,1.7235664590726
"53",2010-05-01,-0.06845703125,1.10626304317048
"54",2010-06-01,3.09248046875,2.23821175382116
"55",2010-07-01,5.31259765625,2.1825433408423
"56",2010-08-01,5.33193359375,2.13540760813707
"57",2010-09-01,3.577734375,1.70392245133813
"58",2010-10-01,-0.7955078125,2.39689056510795
"59",2010-11-01,-4.3595703125,3.86121382054513
"60",2010-12-01,-6.07138671875,1.72416800676985
"61",2011-01-01,-6.74189453125,1.86199982745039
"62",2011-02-01,-7.7498046875,2.41396175148227
"63",2011-03-01,-7.9189453125,1.50597273304687
"64",2011-04-01,-4.42236328125,1.32763106193053
"65",2011-05-01,0.17470703125,0.990441677541075
"66",2011-06-01,3.3314453125,1.50503276430207
"67",2011-07-01,6.4107421875,1.95173937394174
"68",2011-08-01,5.51396484375,2.09791492561841
"69",2011-09-01,3.5998046875,1.61025228446882
"70",2011-10-01,-1.00703125,1.42284793566752
"71",2011-11-01,-5.8328125,2.32647258652267
"72",2011-12-01,-7.39677734375,3.28074747264063
"73",2012-01-01,-9.4568359375,1.91986247673956
"74",2012-02-01,-7.22138671875,1.88734009425386
"75",2012-03-01,-7.04833984375,2.91375249873383
"76",2012-04-01,-4.64931640625,1.98102845812871
"77",2012-05-01,-0.26953125,0.623044493965321
"78",2012-06-01,2.907421875,1.60861835490768
"79",2012-07-01,4.92763671875,2.07819447030803
"80",2012-08-01,5.48525390625,1.62409905457497
"81",2012-09-01,2.9958984375,2.23058864600103
"82",2012-10-01,-0.43837890625,1.55079385329003
"83",2012-11-01,-3.7498046875,1.61088830276848
"84",2012-12-01,-8.8935546875,4.48353120350642
"85",2013-01-01,-6.64453125,1.36553735362056
"86",2013-02-01,-9.1265625,4.00299612263508
"87",2013-03-01,-7.21298828125,2.05705752814946
"88",2013-04-01,-2.929296875,0.980409328759095
"89",2013-05-01,0.25595703125,1.47938202557303
"90",2013-06-01,3.2853515625,3.15249493675084
"91",2013-07-01,5.3580078125,3.22075600278336
"92",2013-08-01,5.3576171875,2.42570304860585
"93",2013-09-01,3.38642578125,1.77181399548928
"94",2013-10-01,-0.23974609375,1.94635612277412
"95",2013-11-01,-5.07412109375,3.35591937251406
"96",2013-12-01,-8.04326171875,2.46396939393297
"97",2014-01-01,-10.4810546875,4.25604125843111
"98",2014-02-01,-10.9052734375,1.6740026512839
"99",2014-03-01,-8.28974609375,2.44208293790477
"100",2014-04-01,-4.83359375,2.36672608565122
"101",2014-05-01,0.0212890624999999,1.35166557766658
"102",2014-06-01,3.34033203125,1.41501118664912
"103",2014-07-01,5.07861328125,1.60607382290169
"104",2014-08-01,5.60927734375,1.53202723631678
"105",2014-09-01,3.88330078125,1.8764599379196
"106",2014-10-01,-0.43583984375,2.02348447636324
"107",2014-11-01,-3.73525390625,1.79089039686342
"108",2014-12-01,-6.784375,2.31207316357142
"109",2015-01-01,-7.79775390625,1.85819190075868
