"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.189497209618676,1.00683393939632
"2",2,"2030s",0.309360018760188,1.27750420821892
"3",3,"2030s",0.513251587444925,1.46270955598737
"4",4,"2030s",0.547337376171286,1.43066906559224
"5",5,"2030s",0.644686845541709,1.55674076986399
"6",6,"2030s",1.00495630284149,1.98522132247871
"7",7,"2030s",1.36399055157433,2.10520622197709
"8",8,"2030s",1.41996873422765,1.9673358784925
"9",9,"2030s",1.2380254166592,1.5266947784496
"10",10,"2030s",0.823459792813639,1.03881121149256
"11",11,"2030s",0.290840128652365,1.01754625905036
"12",12,"2030s",0.218962861212532,1.28797683784388
