"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.686105668050933,1.20421729676199
"2",2,"2030s",-0.628343986749662,1.72239448176389
"3",3,"2030s",-0.362065722926106,1.37695727340193
"4",4,"2030s",-0.0603760406437321,1.31988618091425
"5",5,"2030s",0.0445702561263886,1.61215306061913
"6",6,"2030s",0.324931107181459,2.03736141054086
"7",7,"2030s",0.643419743873478,2.19019301370408
"8",8,"2030s",0.799832960693048,2.03757301631426
"9",9,"2030s",0.717415807137949,1.62122220251677
"10",10,"2030s",0.137019089545576,1.12446900579375
"11",11,"2030s",-0.840378183953351,0.860129699585153
"12",12,"2030s",-0.664485254013806,1.16025103756514
