"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",0.496278471694315,1.26228273632619
"2",2,"2060s",1.15876357012122,1.03609403158795
"3",3,"2060s",1.21659813559293,1.11016763682417
"4",4,"2060s",1.4643328990931,1.24255630639605
"5",5,"2060s",1.63431942681396,1.64247509283722
"6",6,"2060s",2.06854303897935,2.07655628899148
"7",7,"2060s",2.20697160414442,2.1950045434722
"8",8,"2060s",2.22912262291849,2.01226130204254
"9",9,"2060s",1.92739543547566,1.59142279985415
"10",10,"2060s",1.6048626535391,1.05250522972416
"11",11,"2060s",1.44076208505578,0.85333545575073
"12",12,"2060s",0.910082982633938,1.03817232603135
