"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.35248886305688,1.10227960203538
"2",2,"2030s",0.0282434643540222,1.61075029407792
"3",3,"2030s",0.423179460450814,1.0418013551083
"4",4,"2030s",0.812799235692193,0.807026215758847
"5",5,"2030s",0.587397668314608,0.884960639721547
"6",6,"2030s",0.286680578216096,0.944611895989389
"7",7,"2030s",-0.0605840589041046,1.00988256848878
"8",8,"2030s",-0.425783112331674,0.969257181365242
"9",9,"2030s",-0.686537876389887,0.734240719445508
"10",10,"2030s",-1.13320141362785,0.678236698374419
"11",11,"2030s",-1.50207436260946,0.535561433739618
"12",12,"2030s",-0.508152796842599,0.971536400112153
