"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",0.10944339838976,0.830809111038076
"2",2,"2030s",1.15390659925318,1.14279963111971
"3",3,"2030s",1.2123543391454,1.29137196641125
"4",4,"2030s",1.23826971127802,1.08356750871126
"5",5,"2030s",1.07451614456407,0.846886745618813
"6",6,"2030s",0.863603700533938,0.933321827170693
"7",7,"2030s",0.63343915543823,0.970241020094374
"8",8,"2030s",0.202462125577122,0.932395055488608
"9",9,"2030s",-0.192632619231639,0.652475472991738
"10",10,"2030s",-0.353085948245078,0.612692765620913
"11",11,"2030s",-0.504893420359311,0.840884640192527
"12",12,"2030s",0.212366341326601,1.06300288528091
