"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.642067522015402,0.603512846531164
"2",2,"2030s",-0.453435487789781,0.873969973666947
"3",3,"2030s",-0.421174825655382,1.10628902395853
"4",4,"2030s",-0.621010940726959,0.986613358466532
"5",5,"2030s",-0.953116407749105,0.694641698917282
"6",6,"2030s",-0.950300507521449,0.593021027040918
"7",7,"2030s",-0.679726313987974,0.487570333780694
"8",8,"2030s",-0.436536189908739,0.452114322551182
"9",9,"2030s",-0.237946991348008,0.317340531848465
"10",10,"2030s",-0.17234683263584,0.346359408899664
"11",11,"2030s",-0.351299560801848,0.686886022090694
"12",12,"2030s",-0.339187586817979,0.924167131021242
