"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",-0.0212030355629714,0.997718406440832
"2",2,"2060s",0.426903225125364,0.673876510763742
"3",3,"2060s",0.295075804808174,0.668976333094392
"4",4,"2060s",0.274014618202784,0.607084143789124
"5",5,"2060s",0.0689530491709108,0.586010238060633
"6",6,"2060s",0.17612278643253,0.592322797711952
"7",7,"2060s",0.312417537147678,0.604429019373154
"8",8,"2060s",0.391207213966733,0.499649756665578
"9",9,"2060s",0.462455847115539,0.363907441423141
"10",10,"2060s",0.597748836565984,0.408922865954419
"11",11,"2060s",0.666382552781741,0.486293632201129
"12",12,"2060s",0.286379144477864,0.745262759259937
