"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",2.68512010540042,1.14798883452655
"2",2,"2090s",3.17927805722762,1.16999980080683
"3",3,"2090s",3.08629568641893,1.13309456376162
"4",4,"2090s",3.14137572795515,1.39161987292257
"5",5,"2090s",3.27529327113753,1.64891510661529
"6",6,"2090s",3.30941745996387,2.09961453158064
"7",7,"2090s",3.35708846095668,2.18088771859762
"8",8,"2090s",3.17888613356929,2.09421898628405
"9",9,"2090s",3.0139234501419,1.81240131600171
"10",10,"2090s",2.89768366807965,1.45044485616496
"11",11,"2090s",3.01552448857415,1.14939718969999
"12",12,"2090s",2.88323907871237,1.13012873086834
