"","pond","low","med","high","time","pond_name"
"1","1",-6.16251349057089,0.21224415667343,6.35244712105021,2012-01-01,"MP1"
"2","1",6.62,6.62,6.62,2012-10-01,"MP1"
"3","1",-2.87892548732197,1.25056935413079,5.14489542736441,2012-04-01,"MP1"
"4","1",7.50839188325808,11.2769805366771,15.3269508040718,2087-04-01,"MP1"
"5","1",9.06214064468096,13.4232442479256,17.8128335403651,2087-05-01,"MP1"
"6","1",11.2032822724188,15.0981720170142,19.2457042068187,2087-06-01,"MP1"
"7","1",14.3551173263253,18.2632558736777,22.5324450850542,2087-07-01,"MP1"
"8","1",15.6854951488084,19.5550972859267,23.8199376136704,2087-08-01,"MP1"
"9","1",14.6049655414009,18.3482324234318,22.3292707578892,2087-09-01,"MP1"
"10","1",18.2049568269353,22.2794428795997,26.755788212945,2087-10-01,"MP1"
"11","1",13.1320148997984,17.0799979318848,21.2795968886407,2087-11-01,"MP1"
"12","1",9.10299466771054,13.7973211806747,18.5793460726471,2087-12-01,"MP1"
"13","1",8.13432316587664,12.6743837018874,17.2500498249143,2088-01-01,"MP1"
"14","1",0.605741975001063,4.13719965297536,7.48349689707714,2012-05-01,"MP1"
"15","1",4.18619181535302,9.35217524429365,14.6729548870686,2088-02-01,"MP1"
"16","1",4.14891113004671,8.91432446879245,13.8510211452462,2088-03-01,"MP1"
"17","1",7.198355037759,11.3973963217484,15.7029333106647,2088-04-01,"MP1"
"18","1",9.79838912326368,13.9867551707112,18.493558402508,2088-05-01,"MP1"
"19","1",11.3827612355197,15.5465372751764,19.9427592592623,2088-06-01,"MP1"
"20","1",14.0951940843843,18.2848305070682,22.8109527651444,2088-07-01,"MP1"
"21","1",15.4835587875222,19.0723434495728,22.9338057821405,2088-08-01,"MP1"
"22","1",14.6684010015755,18.5498259078233,22.7645996900847,2088-09-01,"MP1"
"23","1",14.8093923733311,18.7257216826485,22.9055844403326,2088-10-01,"MP1"
"24","1",9.29040017400854,14.0920480973501,19.1225636615038,2088-11-01,"MP1"
"25","1",4.06839571189737,7.62591315521526,11.1339951518435,2012-06-01,"MP1"
"26","1",8.44351834946443,12.9085603468308,17.7053741879102,2088-12-01,"MP1"
"27","1",7.99446922631803,12.3487914312443,16.8945918386688,2089-01-01,"MP1"
"28","1",6.81675498199416,11.4120353767045,16.1142823310167,2089-02-01,"MP1"
"29","1",4.58633321565944,10.7449733989186,17.1450077438636,2089-03-01,"MP1"
"30","1",8.14249041859746,12.7491692533523,17.4685346295807,2089-04-01,"MP1"
"31","1",10.543461519192,14.6458801812572,18.9920635339567,2089-05-01,"MP1"
"32","1",12.1241613486936,16.0444768001287,20.1893740639177,2089-06-01,"MP1"
"33","1",15.1040732364685,19.3474070137504,23.8176739959679,2089-07-01,"MP1"
"34","1",16.3401743741368,20.291970442817,24.7033763205374,2089-08-01,"MP1"
"35","1",15.3973100976362,19.2691756745134,23.471047727622,2089-09-01,"MP1"
"36","1",7.29580466548825,10.9174949814701,14.6824635133283,2012-07-01,"MP1"
"37","1",18.541734948484,22.4246352210931,26.5891449880438,2089-10-01,"MP1"
"38","1",12.9745207118956,16.9802434939746,21.2909561954435,2089-11-01,"MP1"
"39","1",10.780310328909,14.7950270166038,19.1596181423161,2089-12-01,"MP1"
"40","1",3.67432815878034,10.3056264099046,16.8946731781564,2090-01-01,"MP1"
"41","1",2.07321186341058,8.50337783660237,15.1016809928524,2090-02-01,"MP1"
"42","1",4.69511170761679,9.6763708807914,14.865519400218,2090-03-01,"MP1"
"43","1",7.11108664084688,11.7751147701335,16.6021105666496,2090-04-01,"MP1"
"44","1",10.2857305874837,14.040296491291,17.9288022716457,2090-05-01,"MP1"
"45","1",11.5993009239345,15.7491574271226,20.1414039530721,2090-06-01,"MP1"
"46","1",13.8595112746708,18.5080691981276,23.3142964910662,2090-07-01,"MP1"
"47","1",9.23135197292681,12.5972799867334,15.9590164385136,2012-08-01,"MP1"
"48","1",15.2659265944035,19.3521537124825,23.7612456005391,2090-08-01,"MP1"
"49","1",14.134820955647,18.3882829986291,22.824106815833,2090-09-01,"MP1"
"50","1",15.8746658157177,19.4748145534642,23.3963607340873,2090-10-01,"MP1"
"51","1",8.64799636755746,13.3715337390787,18.0814608967561,2090-11-01,"MP1"
"52","1",7.76778331910502,11.4690746275468,15.3252561632828,2090-12-01,"MP1"
"53","1",7.2501432542345,10.6593513059331,14.1266894405386,2091-01-01,"MP1"
"54","1",6.62109513631161,10.0495642308822,13.5075970286376,2091-02-01,"MP1"
"55","1",6.03049922216177,10.3265485533883,14.8559815009189,2091-03-01,"MP1"
"56","1",8.67077978690367,12.3335660776754,16.110155877999,2091-04-01,"MP1"
"57","1",10.6860197323441,13.9178531295984,17.2600731170703,2091-05-01,"MP1"
"58","1",9.10505141994637,12.1449027148887,15.2351519668904,2012-09-01,"MP1"
"59","1",12.322881109721,15.4477784567143,18.7495753044909,2091-06-01,"MP1"
"60","1",15.0958723707697,18.5795325319738,22.3080025568239,2091-07-01,"MP1"
"61","1",15.6995415657944,19.8025274139728,24.2917653575071,2091-08-01,"MP1"
"62","1",15.2431461335404,18.9260407275651,22.9305224481114,2091-09-01,"MP1"
"63","1",15.6627889791304,19.3256014868415,23.2448897350078,2091-10-01,"MP1"
"64","1",11.4014101486073,14.8216317061276,18.4003722888566,2091-11-01,"MP1"
"65","1",10.4873856229889,13.9191965918409,17.5866763154534,2091-12-01,"MP1"
"66","1",6.65156146391169,10.8553307672793,15.0896895923582,2092-01-01,"MP1"
"67","1",5.58374917381473,9.42794180839509,13.4417489009131,2092-02-01,"MP1"
"68","1",5.8808788536056,9.1369403140189,12.5909057700708,2092-03-01,"MP1"
"69","1",6.68967834915559,9.61013809864104,12.5353296598211,2012-10-01,"MP1"
"70","1",6.88094234637013,10.0665899203329,13.3679960409584,2092-04-01,"MP1"
"71","1",9.54586225126638,12.726773843358,15.8965938687513,2092-05-01,"MP1"
"72","1",11.3970660910437,14.5726699208382,17.8385596547374,2092-06-01,"MP1"
"73","1",13.6541889547507,17.1217163854039,20.6999805151124,2092-07-01,"MP1"
"74","1",14.7778135360364,18.5475508464481,22.501881513067,2092-08-01,"MP1"
"75","1",14.562093127935,18.3217358328611,22.46434890283,2092-09-01,"MP1"
"76","1",16.8115819750837,20.7803954000608,25.0742842078717,2092-10-01,"MP1"
"77","1",11.9994742239302,16.0715470754861,20.4473741170344,2092-11-01,"MP1"
"78","1",9.61416502074489,14.0219451144098,18.5990949399834,2092-12-01,"MP1"
"79","1",7.39102482425782,11.4928897647014,15.6897816445712,2093-01-01,"MP1"
"80","1",3.08991438104778,6.41644039515856,9.80788375496987,2012-11-01,"MP1"
"81","1",5.60639599219631,9.0681115806319,12.7364813791022,2093-02-01,"MP1"
"82","1",6.52195531908852,9.86721471316149,13.2698299026881,2093-03-01,"MP1"
"83","1",8.31781166890993,11.8521016304513,15.4441771353409,2093-04-01,"MP1"
"84","1",10.2771580072071,14.042736862189,17.9825742653654,2093-05-01,"MP1"
"85","1",11.4271151878869,15.408019258498,19.7580078630789,2093-06-01,"MP1"
"86","1",14.3389360315524,18.2054501769478,22.2173574078611,2093-07-01,"MP1"
"87","1",15.3102653155385,19.0981286580995,23.1391937685093,2093-08-01,"MP1"
"88","1",14.6927957711666,18.3442316698388,22.3056562360725,2093-09-01,"MP1"
"89","1",15.3980588184648,18.9673336840373,22.8484526561937,2093-10-01,"MP1"
"90","1",11.5842749744721,15.0834549473049,18.7920225734173,2093-11-01,"MP1"
"91","1",1.12752606470068,4.12730895944302,7.18085301694271,2012-12-01,"MP1"
"92","1",9.43776375574613,12.8177136687284,16.3931182489757,2093-12-01,"MP1"
"93","1",6.95424187741243,11.1730900207813,15.3881059272835,2094-01-01,"MP1"
"94","1",4.25195507586676,8.57341680287347,12.8243753329922,2094-02-01,"MP1"
"95","1",4.6019861897241,8.40415662531913,12.0577498396807,2094-03-01,"MP1"
"96","1",6.54739947676016,10.5752215579942,14.6352715685825,2094-04-01,"MP1"
