"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",4.87814210505889,0.960831575848746
"02","2060s",4.2466395802798,1.8024137700728
"03","2060s",3.82072956215755,1.81906239617077
"04","2060s",5.61294059087853,1.91116103584084
"05","2060s",3.85891015720125,1.82695930337394
"06","2060s",1.88528654766797,1.34739432445172
"07","2060s",1.67293833392473,0.941263992679297
"08","2060s",2.12381304265576,0.847484185618272
"09","2060s",3.16836049836402,0.713937043903087
"10","2060s",4.4862880986764,0.842922996716213
"11","2060s",4.90274492871659,1.47743038819555
"12","2060s",4.52604631758088,1.23327645691533
