"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
"40","07-2018","YAKUTAT AIRPORT",13.88,24.4,3.9,"YF",14.65,9.41,NA,12.03,NA,NA,14.24,NA,NA,NA,NA
"41","07-2019","YAKUTAT AIRPORT",15.31,25,9.4,"YF",16.25,10.86,14.38,12.46,12.92,14.17,14.51,12.85,13.02,11.83,14.17
"42","08-2012","YAKUTAT AIRPORT",11.4,19.4,0.6,"YF",13.75,10.26,12.36,12.36,11.72,NA,NA,10.85,10.94,NA,NA
"43","08-2013","YAKUTAT AIRPORT",13.39,20,5.6,"YF",15.38,11.53,13.81,13.81,NA,13.17,14.04,13.75,13.75,NA,NA
"44","08-2014","YAKUTAT AIRPORT",12.58,17.8,4.4,"YF",NA,11.24,4.52,NA,NA,12.98,13.85,NA,NA,NA,NA
"45","08-2015","YAKUTAT AIRPORT",12.8,20.6,3.9,"YF",NA,NA,NA,NA,NA,NA,11.92,NA,NA,11.15,NA
"46","08-2018","YAKUTAT AIRPORT",13.66,18.3,3.9,"YF",13.98,10,NA,13.16,NA,NA,11.86,NA,NA,NA,NA
"47","08-2019","YAKUTAT AIRPORT",13.87,26.7,0.6,"YF",14.82,8.82,13.04,12.51,10.22,11.39,13.74,5.9,8,6.61,13.98
"48","09-2012","YAKUTAT AIRPORT",9.16,16.1,0.6,"YF",9.08,7.48,8.1,8.1,6.98,8.28,8.28,6.88,7.18,NA,NA
"49","09-2013","YAKUTAT AIRPORT",10.66,16.7,1.1,"YF",10.75,8.88,9.9,9.9,NA,9.28,9.57,8.98,9.08,NA,NA
"50","09-2014","YAKUTAT AIRPORT",10.64,18.3,-1,"YF",NA,11.04,-0.66,NA,8.38,12.01,13.37,9.37,9.57,NA,NA
"51","09-2015","YAKUTAT AIRPORT",8.73,17.2,-1,"YF",9.47,NA,NA,NA,NA,NA,7.58,NA,8.98,5.41,9.87
"52","09-2016","YAKUTAT AIRPORT",10.03,20,-2.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,7.19,NA,NA
"53","09-2018","YAKUTAT AIRPORT",10.3,23.9,-0.5,"YF",9.39,5.97,NA,8.27,NA,NA,1.8,NA,NA,NA,NA
"54","09-2019","YAKUTAT AIRPORT",10.83,20,-1,"YF",10.27,6,9.46,7.84,6.94,7.37,8.82,5.67,7.12,NA,9.21
"55","10-2012","YAKUTAT AIRPORT",2.79,11.1,-11.1,"YF",1.66,3.68,-5.98,-5.98,0.67,2.41,3.26,-2.26,-0.77,NA,NA
"56","10-2013","YAKUTAT AIRPORT",6.86,13.3,-2.7,"YF",7.08,5.86,6.38,5.86,NA,6.06,6.17,5.66,5.14,5.14,NA
"57","10-2014","YAKUTAT AIRPORT",5.39,13.3,-4.3,"YF",NA,NA,-3.43,NA,3.26,NA,NA,4.93,5.66,NA,NA
"58","10-2015","YAKUTAT AIRPORT",6.71,13.9,-2.1,"YF",5.35,NA,NA,NA,NA,NA,5.04,NA,0.89,-0.09,6.98
"59","10-2016","YAKUTAT AIRPORT",4.95,15.6,-4.3,"YF",4.06,NA,NA,NA,NA,3.78,NA,NA,5.28,NA,NA
"60","10-2018","YAKUTAT AIRPORT",8.1,18.9,-3.2,"YF",5.31,5.59,4.53,4.09,4.89,NA,0.96,4.51,5.46,4.17,4.19
"61","10-2019","YAKUTAT AIRPORT",5.71,13.3,-3.2,"YF",6.23,4.22,4.77,3.62,4.95,4.89,5.62,4.64,5.02,NA,4.43
"62","11-2012","YAKUTAT AIRPORT",-0.54,7.8,-13.9,"YF",0.12,1.55,-3.9,-3.9,-10.49,1.11,1.22,-2.26,-2.26,NA,NA
"63","11-2013","YAKUTAT AIRPORT",-0.49,7.8,-14.3,"YF",NA,0.23,-7.79,-0.89,NA,2.84,1.55,NA,0.12,0.12,NA
"64","11-2014","YAKUTAT AIRPORT",1.12,7.8,-10.5,"YF",NA,NA,3.68,NA,2.19,NA,NA,4.31,4.42,NA,NA
"65","11-2015","YAKUTAT AIRPORT",1.48,8.3,-12.2,"YF",-0.44,NA,NA,NA,NA,NA,2.62,NA,-4.03,-0.93,NA
"66","11-2016","YAKUTAT AIRPORT",2.74,12.2,-9.9,"YF",3.67,NA,NA,NA,NA,2.66,NA,NA,4.32,NA,NA
"67","11-2018","YAKUTAT AIRPORT",3.71,11.1,-6,"YF",3.83,4.92,2.4,1.83,4.35,NA,2.13,3.7,4.97,2.77,3.27
"68","12-2012","YAKUTAT AIRPORT",-3.89,5,-16.7,"YF",-0.32,0.45,-6.07,-6.07,-15.93,0.23,0.45,-4.15,-1.57,NA,NA
"69","12-2013","YAKUTAT AIRPORT",-2.52,5.6,-16,"YF",NA,-0.55,-8.71,-2.61,NA,1.33,0.56,NA,-3.55,-1.8,NA
"70","12-2014","YAKUTAT AIRPORT",0.99,7.8,-12.1,"YF",NA,NA,2.73,NA,1.55,NA,NA,3.05,2.94,NA,NA
"71","12-2015","YAKUTAT AIRPORT",-0.05,7.2,-12.1,"YF",-1.34,NA,NA,NA,NA,NA,1.33,NA,-6,-3.54,NA
"72","12-2016","YAKUTAT AIRPORT",-2.01,8.3,-16,"YF",2.24,NA,NA,NA,NA,1.32,NA,NA,2.64,NA,NA
"73","12-2018","YAKUTAT AIRPORT",1.79,9.4,-6.6,"YF",1.53,3.38,1.53,0.19,3.64,NA,0.8,1.56,3.56,1.15,1.83
