"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",1.46880242261213,0.851601908948823
"2",2,"2090s",2.02249433682189,1.41149146112424
"3",3,"2090s",2.09841223151725,0.914546911954318
"4",4,"2090s",1.78783853598079,0.862209009170784
"5",5,"2090s",1.63894214094536,0.965346175802081
"6",6,"2090s",1.77090843158189,1.35639929902199
"7",7,"2090s",1.81516364812332,1.33105451178026
"8",8,"2090s",1.59179497608454,1.21044716950549
"9",9,"2090s",1.39361781490867,1.04780838190335
"10",10,"2090s",1.68467030341098,0.964413722945441
"11",11,"2090s",2.00920940421605,0.984526221350186
"12",12,"2090s",1.89716734442552,1.47186373390524
