"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","CAB","TIS","SQR","EYS","RHM","BVS","CAN","WDD"
"51",2015-08-01,"CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,20.46,20.03,NA,NA,22.49,NA,24.74,21.38
"52",2015-09-01,"CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,13.57,14.62,NA,NA,16.11,NA,19.66,15.95
"53",2015-10-01,"CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,7.59,9.31,NA,NA,9.78,NA,NA,NA
"54",2015-11-01,"CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,5.2,4.79,NA,NA,4.73,NA,NA,NA
"55",2015-12-01,"CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,1.94,2.66,NA,NA,3.05,NA,NA,NA
"56",2016-01-01,"CORDOVA AIRPORT",2.16,8.3,-7.7,"CR",NA,2.45,3.51,NA,NA,4,NA,NA,NA
"57",2016-02-01,"CORDOVA AIRPORT",2.56,9.4,-7.7,"CR",NA,2.66,4.53,NA,NA,5.8,NA,NA,NA
"58",2016-03-01,"CORDOVA AIRPORT",3.56,20,-7.1,"CR",NA,6.89,10,NA,NA,13.04,NA,NA,NA
"59",2016-04-01,"CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,9.9,13.45,NA,NA,16.01,NA,NA,NA
"60",2016-05-01,"CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,19.1,23.16,NA,NA,25.57,NA,NA,NA
"61",2016-06-01,"CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,16.65,22.82,NA,NA,25.82,NA,26.88,23.77
"62",2016-07-01,"CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,21.1,NA,NA,24.87,NA,26.68,24.74
"63",2016-08-01,"CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,21.77,NA,NA,18.34,NA,22.24,19.19
"64",2016-09-01,"CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,20.06,NA,NA,11.66,NA,20.23,18.62
"65",2016-10-01,"CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,9.31,NA,NA,8.17,NA,10.65,9.87
"66",2016-11-01,"CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,1.48,6.03,NA,NA,5.38,NA,5.76,4.93
"67",2016-12-01,"CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,1.32,1.21,NA,NA,2.9,NA,1.55,2.41
"68",2017-01-01,"CORDOVA AIRPORT",-4.73,5,-19.3,"CR",NA,0.19,0.05,NA,NA,1.7,NA,0.23,1.44
"69",2017-02-01,"CORDOVA AIRPORT",-2.32,7.2,-13.2,"CR",NA,0.25,0.08,NA,NA,0.74,NA,0.23,1.11
"70",2017-03-01,"CORDOVA AIRPORT",-4.02,5,-19.3,"CR",NA,0.19,0.08,NA,NA,0.22,NA,0.23,1
