"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TDN","Cabin","TDS","Square","EyakS","RHM","BeaverS","CanneryControl","Wooded"
"24","03-2019","CORDOVA AIRPORT",3.62,16.1,-10.5,"CR",NA,3.38,NA,NA,5.45,7.37,NA,1.11,5.86
"25","04-2012","CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",0.14,1.26,0.41,4.17,NA,NA,NA,NA,NA
"26","04-2013","CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",0.67,1.59,3.05,5.55,0.23,1.98,1.22,NA,NA
"27","04-2014","CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",16.52,5.64,15.66,11.62,17.28,19.28,2.41,NA,NA
"28","04-2015","CORDOVA AIRPORT",3.68,13.3,-5.5,"CR",NA,9.51,NA,NA,NA,9.57,NA,NA,NA
"29","04-2016","CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,9.9,13.45,NA,NA,16.01,NA,NA,NA
"30","04-2017","CORDOVA AIRPORT",4.27,16.1,-5.5,"CR",NA,3.12,14.53,NA,NA,7.89,NA,13.65,7.68
"31","04-2018","CORDOVA AIRPORT",3.23,13.9,-7.7,"CR",NA,4.12,9.83,NA,NA,10.12,NA,NA,NA
"32","04-2019","CORDOVA AIRPORT",4.34,15,-3.8,"CR",NA,9.46,NA,NA,14.61,12.68,NA,14.9,11.24
"33","05-2012","CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",16.37,3.51,16.46,15.56,NA,NA,NA,NA,NA
"34","05-2013","CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",21.95,11.64,20.33,19.38,22.33,24.55,1.76,NA,NA
"35","05-2014","CORDOVA AIRPORT",9.15,23.3,-1,"CR",22.43,16.44,19.09,18.52,22.91,25.61,11.04,NA,NA
"36","05-2015","CORDOVA AIRPORT",8.71,21.1,-2.7,"CR",NA,19.72,21.53,NA,NA,25.94,NA,NA,NA
"37","05-2016","CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,19.1,23.16,NA,NA,25.57,NA,NA,NA
"38","05-2017","CORDOVA AIRPORT",6.4,21.7,-3.8,"CR",NA,13.88,19.65,NA,NA,11.13,NA,21.38,16.81
"39","05-2018","CORDOVA AIRPORT",6.37,18.3,-2.7,"CR",NA,11.37,16.08,NA,NA,11.44,NA,NA,NA
"40","05-2019","CORDOVA AIRPORT",8.41,18.9,-1,"CR",NA,14.1,NA,NA,18.71,16.96,NA,19.66,16.9
"41","06-2011",NA,NA,NA,NA,"CR",21.27,NA,NA,NA,NA,NA,NA,NA,NA
"42","06-2012","CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",21.94,17.08,21.94,20.79,NA,NA,NA,NA,NA
"43","06-2013","CORDOVA AIRPORT",12.19,32.2,2.2,"CR",25.12,21.2,26.78,23.87,27.76,27.96,10.75,NA,NA
"44","06-2014","CORDOVA AIRPORT",9.68,21.7,0.6,"CR",21.47,15.84,22.62,18.05,21.28,24.64,12.11,NA,NA
"45","06-2015","CORDOVA AIRPORT",11.28,27.8,2.8,"CR",NA,20.41,24.32,NA,NA,25.84,NA,26,20.52
"46","06-2016","CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,16.65,22.82,NA,NA,25.82,NA,26.88,23.77
"47","06-2017","CORDOVA AIRPORT",10.48,21.7,1.1,"CR",NA,16.44,21.34,NA,21.66,12.05,NA,22.72,18.33
"48","06-2018","CORDOVA AIRPORT",10.43,20,0,"CR",NA,16.23,22.49,NA,21.57,13.55,NA,21.76,20.42
"49","06-2019","CORDOVA AIRPORT",12.63,26.1,2.8,"CR",NA,NA,NA,NA,26.59,20.15,NA,28.46,25.42
"50","07-2011",NA,NA,NA,NA,"CR",22.2,NA,NA,NA,NA,NA,NA,NA,NA
"51","07-2012","CORDOVA AIRPORT",10.67,20,5,"CR",18.15,17.87,20.44,18.72,NA,10.16,9.77,NA,NA
"52","07-2013","CORDOVA AIRPORT",12.81,21.7,3.9,"CR",19.34,19.77,24.45,19.47,NA,21.76,12.4,NA,NA
"53","07-2014","CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,17.01,24.74,19.57,NA,26,13.37,NA,NA
"54","07-2015","CORDOVA AIRPORT",12.82,25.6,5,"CR",NA,20.27,22.15,NA,NA,23.98,NA,25.61,20.23
"55","07-2016","CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,21.1,NA,NA,24.87,NA,26.68,24.74
"56","07-2017","CORDOVA AIRPORT",12.55,22.8,3.3,"CR",NA,18.84,23.71,NA,25.61,12.82,NA,25.51,20.04
